,t,y,fft,fftfreq
0,5.23449375,0.0028885536490153153,(21.480197173524513+0j),0.0
1,5.23459375,0.0019289004007052024,(0.050047295149016305+0.033267886143944644j),2.5601638504923976
2,5.23469375,0.0037818637835548372,(0.03558598827764821+0.0008351301933173516j),5.120327700984795
3,5.234793750000001,0.0027063790637441953,(0.03939118600354338-0.010106470988678463j),7.680491551477193
4,5.23489375,0.002638063047190767,(0.02907462305713668+0.001997239468567776j),10.24065540196959
5,5.23499375,0.003268619132852587,(-0.0010142725726223767+0.022168991918743046j),12.800819252461988
6,5.23509375,0.002957025963368962,(0.05794636721620578-0.026245699710656115j),15.360983102954386
7,5.2351937500000005,0.0027884789183791996,(0.1028744332207962-0.0293256188477634j),17.921146953446783
8,5.23529375,0.0030083790914476475,(0.04504734473709981-0.03178834715414003j),20.48131080393918
9,5.23539375,0.0032044785901976206,(0.011450646572183018-0.06594119727180027j),23.04147465443158
10,5.23549375,0.0051101884235635765,(0.002960201436749403+0.07294936213730956j),25.601638504923976
11,5.2355937500000005,0.0014153158457636738,(-0.015469082190358516+0.029673789427327686j),28.161802355416373
12,5.23569375,0.004193513895520238,(0.058744634879739285+0.017545598424749353j),30.72196620590877
13,5.23579375,0.0037275777869271625,(0.02661857707905342+0.03811022876895123j),33.28213005640117
14,5.23589375,0.0054527098244273806,(0.005610486245498666-0.01412123638171432j),35.842293906893566
15,5.23599375,0.005793523091485236,(-0.0161742499129144+0.026818651940185192j),38.40245775738596
16,5.23609375,0.0035486548500168018,(-0.012082674136640478-0.060388517316684084j),40.96262160787836
17,5.23619375,0.004459146215650144,(-0.022447130359555367-0.02500070294210127j),43.52278545837076
18,5.23629375,0.004826119947138523,(0.001695295401389768+0.0341239203886489j),46.08294930886316
19,5.23639375,0.00470110137613725,(0.021248511824522774-0.051932298811170806j),48.64311315935555
20,5.23649375,0.005827190399501554,(0.0018563802836609328-0.02799676782152924j),51.20327700984795
21,5.23659375,0.0043803635554087285,(-0.024027973924140855-0.05433118026620601j),53.76344086034035
22,5.236693750000001,0.0055892901599303955,(0.07502953376343885-0.045721265693381766j),56.32360471083275
23,5.23679375,0.00527876562707476,(0.030991552809350884-0.0012779593652977187j),58.88376856132514
24,5.23689375,0.005700274208664707,(-0.0034930413125711327+0.012526326377143349j),61.44393241181754
25,5.23699375,0.006761073666347084,(0.01105466385296824-0.07394591721825354j),64.00409626230994
26,5.2370937500000005,0.0044359573361613105,(0.020012238676397+0.013837439929588718j),66.56426011280234
27,5.23719375,0.005408005249145328,(-0.040902369355260385-0.02700081601748432j),69.12442396329473
28,5.23729375,0.005975144046390453,(0.04529752411107413-0.024296327953484437j),71.68458781378713
29,5.23739375,0.005022631629837001,(0.06314643462219761+0.06051155537631336j),74.24475166427953
30,5.2374937500000005,0.007771274625700222,(0.021976719764809173-0.07371841484467541j),76.80491551477192
31,5.23759375,0.007485858668611177,(0.03619603562682889-5.5286749989790634e-05j),79.36507936526432
32,5.23769375,0.008924983149103794,(0.06717731171467303-0.03946136652185447j),81.92524321575672
33,5.23779375,0.008692989626012032,(0.07324229344149788-0.07287999918081649j),84.48540706624912
34,5.2378937500000005,0.007269194970570599,(0.042670234562703316-0.007441411813575527j),87.04557091674153
35,5.23799375,0.007370248760581011,(0.015139852369990705-0.07144028905652412j),89.60573476723391
36,5.23809375,0.00542950308363559,(0.03486181071423389+0.04491495635606367j),92.16589861772631
37,5.23819375,0.005584346583657819,(0.02775570506859415-0.02572299284595945j),94.72606246821871
38,5.23829375,0.006634663372885101,(0.12016907944131897-0.004371167010454341j),97.2862263187111
39,5.23839375,0.009468136513384873,(0.046382260588685845+0.016828851419581847j),99.8463901692035
