,t,y,fft,fftfreq
0,4.53129375,0.00484907937911054,(-0.0013861034089233783-0.020106864550838884j),2500.1333262284284
1,4.53139375,0.005602125766933879,(-0.08197863783380552+0.03338050883049773j),2500.6666311188355
2,4.53149375,0.004176539098135747,(0.039081395614017314-0.005329435358000284j),2501.1999360092423
3,4.53159375,0.0034706391311962624,(-0.06132834857666396-0.024314895737259756j),2501.7332408996494
4,4.53169375,0.00286572586549767,(-0.007273104174076253-0.00862899865847689j),2502.2665457900566
5,4.53179375,0.0016958533674195106,(-0.022858533676893816-7.773533673674157e-05j),2502.799850680464
6,4.53189375,0.003917923969699628,(-0.015630496325777975+0.010603036334025946j),2503.333155570871
7,4.53199375,0.0033711179534178033,(-0.018616147923720138+0.08770409118079753j),2503.8664604612777
8,4.53209375,0.004955742623942782,(0.05392290350975339+0.06279270823234681j),2504.399765351685
9,4.53219375,0.003932715764847134,(-0.04222627878100023+0.09273301774293209j),2504.933070242092
10,4.53229375,0.0049332660126524255,(-0.06545267953252895-0.14128435138489492j),2505.4663751324993
11,4.53239375,0.004659901913755105,(0.048663151315001055+0.04134196618549951j),2505.9996800229064
12,4.53249375,0.0030132799254186317,(0.03631621843479943-0.11789040810969043j),2506.532984913313
13,4.53259375,0.003800395613707382,(-0.11067680118011043+0.08228917993532181j),2507.0662898037203
14,4.53269375,0.00316211940124564,(0.03813438204896512+0.08345422757162838j),2507.5995946941275
15,4.53279375,0.003206407664916243,(-0.04623373725824624+0.08344741267541393j),2508.1328995845347
16,4.53289375,0.004544331671633368,(0.02942168565912011+0.08958275054610529j),2508.666204474942
17,4.53299375,0.0033780029949789982,(-0.04116696453850151-0.026882421756656526j),2509.1995093653486
18,4.53309375,0.004822687140281727,(0.00983279309982872+0.011535813981711558j),2509.732814255756
19,4.53319375,0.003542543363406674,(-0.05008482816897453+0.040357981441941596j),2510.266119146163
20,4.53329375,0.004411127049285617,(-0.033157232675795664+0.04877754003823018j),2510.79942403657
21,4.53339375,0.004460941685903461,(-0.041518332636770613+0.007597273854388015j),2511.3327289269773
22,4.53349375,0.003914489291306062,(-0.047336544253405194-0.06624967020227773j),2511.866033817384
23,4.53359375,0.004566953743730927,(-0.01652888558209135+0.009000132396213213j),2512.3993387077912
24,4.53369375,0.004812786499674487,(-0.0452820294080447+0.03827113240004769j),2512.9326435981984
25,4.53379375,0.00496795459362561,(0.10004952896428637-0.02004124291662398j),2513.4659484886056
26,4.53389375,0.005856280081785701,(-0.04256704310487833+0.03873610863912136j),2513.9992533790128
27,4.53399375,0.004626915909446621,(-0.048931749921002674+0.021287360662296757j),2514.5325582694195
28,4.53409375,0.0052431705471902654,(-0.031835191350867716-0.10231157048758972j),2515.0658631598267
29,4.53419375,0.004014589484858958,(0.015233600621345851+0.05362506489176837j),2515.599168050234
30,4.53429375,0.004638795054050085,(0.01699021057003402+0.06449278409054313j),2516.132472940641
31,4.53439375,0.004553545901866361,(0.057800228550352536-0.03603913359066835j),2516.665777831048
32,4.53449375,0.005343819105998088,(0.015492827048458427+0.028610746701985972j),2517.199082721455
33,4.53459375,0.005470482129771761,(-0.02565409283334426+0.019667608135194588j),2517.732387611862
34,4.53469375,0.006277544461235841,(-0.05155401550767506+0.0895344555789645j),2518.2656925022693
35,4.53479375,0.006430287517302463,(-0.03660238206047462-0.0015180764952167376j),2518.7989973926765
36,4.53489375,0.007199263882850133,(-0.030148556576577105-0.02434751654589115j),2519.3323022830837
37,4.53499375,0.007089694228193489,(0.026736784324478485+0.023718228335887666j),2519.8656071734904
38,4.53509375,0.006091619410476724,(0.024028855768037385+0.056992117802567924j),2520.3989120638976
39,4.53519375,0.005568322784943101,(-0.01952099996800141+0.009067576116018827j),2520.9322169543047
40,4.53529375,0.0047912623954982705,(0.07368193280646271+0.017094293161337874j),2521.465521844712
41,4.53539375,0.005265748799835222,(0.006456470687456734-0.014095398542743314j),2521.998826735119
42,4.53549375,0.004758749112665333,(0.008105904037952014-0.030463246199740897j),2522.532131625526
43,4.53559375,0.005261789627338596,(0.05774520901700952-0.06958466883755049j),2523.065436515933
44,4.53569375,0.006014020919750424,(-0.004303409057628619+0.0204954783939115j),2523.59874140634
45,4.53579375,0.006217067478723897,(-0.06991024559108487+0.013901044597194896j),2524.1320462967474
46,4.53589375,0.006675205498261969,(-0.017172566980206003+0.032911652724255856j),2524.6653511871546
47,4.53599375,0.007538769514338338,(0.057337062817709034+0.025919134911992284j),2525.1986560775613
48,4.53609375,0.00787652744986556,(-0.08195756976841491+0.026546406568653407j),2525.7319609679685
49,4.53619375,0.007767691348580382,(0.038016961983868364-0.03836744057538966j),2526.2652658583756
50,4.53629375,0.006791258975531457,(0.08164007463618514+0.1245442782933033j),2526.798570748783
51,4.53639375,0.007086095494524965,(-0.07357279030582492-0.02741986570904158j),2527.33187563919
52,4.53649375,0.0058863522658108725,(-0.05803507025194775-0.01071660663584591j),2527.8651805295967
53,4.53659375,0.006450610795021745,(-0.07560655043667008-0.008208352032703571j),2528.398485420004
54,4.53669375,0.005781719100746524,(0.016924039818575123-0.012266991425343644j),2528.931790310411
55,4.53679375,0.006784488708306941,(-0.020361163279809323+0.04979093431136143j),2529.4650952008183
56,4.53689375,0.008826168284123345,(-0.057273581244314524-0.013482928166449214j),2529.9984000912254
57,4.53699375,0.00834714334080236,(-0.020818834900082697+0.005555157383415134j),2530.531704981632
58,4.53709375,0.009030589357053986,(-0.006243251748218686+0.021260218096431402j),2531.0650098720394
59,4.53719375,0.008231874059352513,(0.007671131007180809-0.048659232038730495j),2531.5983147624465
60,4.53729375,0.0083500299853075,(-0.054441782624396584+0.05240478082773894j),2532.1316196528537
61,4.53739375,0.007801178809662661,(0.02865546720270619-0.09038099045787759j),2532.664924543261
62,4.53749375,0.006925732815754546,(0.0020229024498839288-0.07426047334598693j),2533.1982294336676
63,4.53759375,0.006347875544648954,(0.1396884862383506+0.027682013298890876j),2533.731534324075
64,4.53769375,0.00582287976733331,(-0.039744827231801574+0.1404496336669423j),2534.264839214482
65,4.53779375,0.005098751810942204,(-0.02815146545268724+0.06547421468687331j),2534.798144104889
66,4.53789375,0.006359553506010832,(0.018877243616768163-0.03429333670162111j),2535.3314489952963
67,4.53799375,0.006439971044547759,(0.10430657624977482+0.013142968259855614j),2535.864753885703
68,4.53809375,0.006695022950362773,(-0.05482800262200728+0.07123133115710842j),2536.3980587761102
69,4.53819375,0.0065792004582454,(0.00018952955276081707+0.052647141080380086j),2536.9313636665174
70,4.53829375,0.004843977224959325,(-0.023420466882420877+0.026093275896905417j),2537.4646685569246
71,4.53839375,0.004908290117825627,(-0.01436798121320607-0.050438926294441744j),2537.9979734473313
72,4.53849375,0.005790700756820029,(0.009230742617753838-0.031049839220302796j),2538.5312783377385
73,4.53859375,0.004629895734756143,(0.01966556959869621+0.08331818486363302j),2539.0645832281457
74,4.53869375,0.005840556536902366,(-0.0006997970464652191-0.06961328183171758j),2539.597888118553
75,4.53879375,0.004769974400089626,(-0.021189284064069308-0.030926803553109325j),2540.13119300896
76,4.53889375,0.006780376539089195,(-0.089261990991012+0.0451608443492786j),2540.664497899367
77,4.53899375,0.005704515371701337,(-0.04337729691122687+0.07461884327417606j),2541.197802789774
78,4.53909375,0.005009732124144971,(-0.037144721023029424-0.04590719359420283j),2541.731107680181
79,4.53919375,0.004625202758509548,(-0.01349874816533258-0.014739120549796779j),2542.2644125705883
80,4.53929375,0.0034484621197131186,(0.09179490216977447-0.11594268809445654j),2542.7977174609955
81,4.53939375,0.003270652065022563,(0.1285194817458386+0.03331186754293513j),2543.331022351402
82,4.53949375,0.0009353173903191395,(0.012399229697499988-0.019919587084587742j),2543.8643272418094
83,4.53959375,0.0035018833804392846,(0.023292365248926035+0.01928287971427805j),2544.3976321322166
84,4.53969375,0.0029766679625465933,(-0.012868554957919413+0.06986528042819837j),2544.9309370226238
85,4.53979375,0.005084647858867843,(0.10722887621359098+0.058882840322724034j),2545.464241913031
86,4.53989375,0.0042396475444300705,(-0.031995292358994135+0.03831797732970803j),2545.9975468034377
87,4.53999375,0.006028963308675196,(0.022629106140861104+0.049376021892419866j),2546.530851693845
88,4.54009375,0.005326680021769457,(-0.019478077054787362+0.012185754377823616j),2547.064156584252
89,4.54019375,0.0052137618918271355,(0.03733210105944541-0.0852449847175478j),2547.597461474659
90,4.54029375,0.0036122522969460964,(0.07814734420237023+0.03208729557719827j),2548.1307663650664
91,4.54039375,0.003178765751856992,(0.04231738404904614+0.013131391499087385j),2548.664071255473
92,4.54049375,0.005134283099398709,(0.02463216390705758-0.01512334575316479j),2549.1973761458803
93,4.54059375,0.003190748271291377,(-0.01711406086040048+0.0482319491755219j),2549.7306810362875
94,4.54069375,0.003870974731769156,(0.10046162791963609-0.0032661170027085337j),2550.2639859266947
95,4.54079375,0.0039017445346244454,(0.03913554718440561+0.08366579973062896j),2550.797290817102
96,4.54089375,0.0042888698115515315,(-0.05963780455353079-0.016334612236243252j),2551.3305957075086
97,4.54099375,0.004161790947566503,(0.018622258359141275+0.00027116126820921115j),2551.8639005979157
98,4.54109375,0.004023749384809018,(0.0681575633881622-0.03288912251787102j),2552.397205488323
99,4.54119375,0.00286049837566226,(0.08242840251790515-0.0012114549254572775j),2552.93051037873
100,4.54129375,0.0033570272098439975,(-0.057166234856548696+0.06807771200193116j),2553.4638152691373
101,4.54139375,0.003585630839843835,(-0.01901566525700591+0.07081914964115835j),2553.997120159544
102,4.54149375,0.003110375093490309,(0.023682271550890404+0.01907950644130898j),2554.530425049951
103,4.54159375,0.0037049905465912454,(-0.005025599458824376+0.017186699400833304j),2555.0637299403584
104,4.54169375,0.004321338361144105,(0.041051936600131844+0.06519738924724791j),2555.5970348307656
105,4.54179375,0.005345216771732653,(-0.014539061964292825+0.056464272399547384j),2556.1303397211727
106,4.54189375,0.00512264060887662,(-0.004470522451943523-0.006282130477130131j),2556.6636446115795
107,4.54199375,0.005193972753302548,(0.061629710050676745+0.04910151877724977j),2557.1969495019866
108,4.54209375,0.005019897565597056,(0.009483651664423172+0.04344408829848038j),2557.730254392394
109,4.54219375,0.00392323761273042,(-0.08770303448952559+0.04199941984541197j),2558.263559282801
110,4.54229375,0.005715792684244838,(0.010417236184854793+0.03819664513021908j),2558.796864173208
111,4.54239375,0.0037118586005744857,(-0.04334242636347619+0.03309400276939485j),2559.330169063615
112,4.54249375,0.004821364413521964,(-0.03282668974142117+0.03994584704356886j),2559.863473954022
113,4.54259375,0.0039058263190590806,(-0.08474351914553119+0.003284529007089046j),2560.3967788444293
114,4.54269375,0.004624759261482836,(-0.020699639257065094-0.012294950170850246j),2560.9300837348364
115,4.54279375,0.005307424560365821,(-0.0007487163856478157-0.02664038826367185j),2561.4633886252436
116,4.54289375,0.005321591632324509,(-0.02627143519574382-0.09814835599942354j),2561.9966935156503
117,4.54299375,0.005979763974794394,(0.10667232626238032+0.10543496865790045j),2562.5299984060575
118,4.54309375,0.006800929395420044,(-0.029990536785592062-0.02281045358115261j),2563.0633032964647
119,4.54319375,0.005391366944913483,(-0.054896136101175705+0.08679534019100986j),2563.596608186872
120,4.54329375,0.007436103689231685,(0.0021326879496688274+0.034630001967424245j),2564.129913077279
121,4.54339375,0.0067812860358203615,(0.06152034677397829+0.005902690107189617j),2564.663217967686
122,4.54349375,0.006890403908494212,(0.0472977718922727+0.030402928103023658j),2565.196522858093
123,4.54359375,0.005749551579666721,(-0.016011968079782675-0.01704646914135137j),2565.7298277485
124,4.54369375,0.005405089704067522,(-0.02674225364759364+0.08935226496887344j),2566.2631326389073
125,4.54379375,0.005338946780086025,(-0.06192007851182457+0.06537800076813503j),2566.7964375293145
126,4.54389375,0.004674175182400637,(0.04068232051261961-0.0621245127313773j),2567.3297424197212
127,4.54399375,0.006657069892650678,(-0.012503089185404336-0.08102590612432842j),2567.8630473101284
128,4.54409375,0.00629757563942138,(-0.0251820727812818+0.024666956960606855j),2568.3963522005356
129,4.54419375,0.008427225676218203,(0.05673937939348798+0.08035857715251173j),2568.929657090943
130,4.54429375,0.006171264124133163,(0.04093547812460773-0.009658122688098982j),2569.46296198135
131,4.54439375,0.008583319261936008,(-0.09306323047016274+0.038608257702902056j),2569.9962668717567
132,4.54449375,0.007339041793656164,(-0.015781129026280212+0.025039005190299297j),2570.529571762164
133,4.54459375,0.008075854435805217,(-0.08214018189797849+0.011088233453098992j),2571.062876652571
134,4.54469375,0.0067548334820192344,(-0.005828248567264407-0.2322443908231843j),2571.5961815429782
135,4.54479375,0.007443112744417084,(0.126973361653054+0.23366960065350817j),2572.1294864333854
136,4.54489375,0.008326588726374996,(-0.04673389389837857-0.07857073884390683j),2572.662791323792
137,4.54499375,0.006745164433809747,(-0.09823551984245409-0.05059728101647509j),2573.1960962141993
138,4.54509375,0.008730370558796849,(-0.07154399835699767-0.05634211285429212j),2573.7294011046065
139,4.54519375,0.006407462581142673,(0.16148315673071378-0.009798797161036515j),2574.2627059950137
140,4.54529375,0.006837589457016682,(-0.15589815703464022+0.09370135491727533j),2574.7960108854204
141,4.54539375,0.006860899784808501,(0.0839666277061276+0.11246185853549702j),2575.3293157758276
142,4.54549375,0.006505514606104575,(0.1368604092547841+0.00919052238694685j),2575.8626206662348
143,4.54559375,0.007398536178714003,(-0.022504582026827757-0.06359053986709323j),2576.395925556642
144,4.54569375,0.006571137649538053,(0.10295113507041195-0.02601057697829719j),2576.929230447049
145,4.54579375,0.007651883663046664,(0.06917649913021565-0.041761121270269846j),2577.462535337456
146,4.54589375,0.008987227746855526,(-0.003130690940332151+0.07874285062951986j),2577.995840227863
147,4.54599375,0.006508413301469042,(-0.0461565754012559+0.0685607358389049j),2578.52914511827
148,4.54609375,0.009871689694293542,(-0.07318532735728842+0.012332106567542415j),2579.0624500086774
149,4.54619375,0.003952232691012013,(-0.031857750645665046-0.02126135526075551j),2579.5957548990846
150,4.54629375,0.007529923777834518,(-0.03754918055570451-0.030208205590826237j),2580.1290597894913
151,4.54639375,0.004226925854482832,(-0.08550517051738785-0.008244821719150676j),2580.6623646798985
152,4.54649375,0.005548130805815371,(0.0970294595943409-0.12861176926676904j),2581.1956695703057
153,4.54659375,0.005012979136407429,(-0.046863447691181934+0.044003250797538355j),2581.728974460713
154,4.54669375,0.003400342667147135,(0.05080295816855636+0.03207132407934292j),2582.26227935112
155,4.54679375,0.006324426875447104,(0.006880427292243081-0.030834681008486256j),2582.7955842415267
156,4.54689375,0.0037514127160124273,(0.015207752287724466+0.009701429701174288j),2583.328889131934
157,4.54699375,0.006081317027608964,(-0.02199024331697645+0.009095359141840322j),2583.862194022341
158,4.54709375,0.0049789564175399675,(-0.02514491676288483-0.023464306859385525j),2584.3954989127483
159,4.54719375,0.005096453017037505,(-0.06780810550088955+0.01024718117604155j),2584.9288038031555
160,4.54729375,0.006199003139696036,(-0.052293251895417864+0.03878724036397291j),2585.462108693562
161,4.54739375,0.004661495626411406,(-0.09313368488378786-0.05037401316909848j),2585.9954135839694
162,4.54749375,0.006514241308174528,(-0.01625265310672589+0.031457206998102415j),2586.5287184743765
163,4.54759375,0.004999251872143907,(0.13165605887794257-0.006557310638795959j),2587.0620233647837
164,4.54769375,0.0047268929029277516,(0.019899608259592444+0.0963444457626288j),2587.595328255191
165,4.54779375,0.002802005787527249,(-0.0009589292000794886-0.025754562813318047j),2588.1286331455976
166,4.54789375,0.0027917430362410837,(-0.02152525647873928+0.015917633438558003j),2588.661938036005
167,4.54799375,0.0031480130331801182,(0.06459705220387994-0.05905131634691487j),2589.195242926412
168,4.54809375,0.00168354977356283,(0.03535567361424227-0.007062947961552644j),2589.728547816819
169,4.54819375,0.004191208773525971,(0.005457169513884728-0.012934872356482632j),2590.2618527072264
170,4.54829375,0.003321770543604679,(0.08597484765433372+0.077813875767912j),2590.795157597633
171,4.54839375,0.005477012689802462,(-0.03306324508239324+0.01214406508224737j),2591.3284624880403
172,4.5484937500000004,0.004438605891604139,(-0.05270929357728607+0.054398543349467254j),2591.8617673784474
173,4.54859375,0.005195982945072984,(0.05879459640254545-0.02442992183158375j),2592.3950722688546
174,4.54869375,0.0052640852998560965,(-0.0011234974090124413+0.025142939600597797j),2592.928377159262
175,4.54879375,0.0037145451896575775,(0.006793285362549647+0.005244189203352569j),2593.4616820496685
176,4.54889375,0.004659412702514435,(-0.020032450637201434+0.019946580614288754j),2593.9949869400757
177,4.54899375,0.002182541952020651,(0.03647892534851814-0.07104971891552933j),2594.528291830483
178,4.54909375,0.004137154212671328,(0.01224968090218493+0.01187132684141627j),2595.06159672089
179,4.54919375,0.0032772732541126717,(0.007912747090742136+0.03440826739791617j),2595.5949016112972
180,4.54929375,0.002740741368707642,(0.0051693525858222435-0.051278828576871105j),2596.128206501704
181,4.54939375,0.003478730380072817,(0.03427986254910641+0.016629948123077262j),2596.661511392111
182,4.54949375,0.0038296653390867143,(0.01112233058067109+0.03810849478252726j),2597.1948162825183
183,4.54959375,0.004232825781844553,(-0.032256067566351236+0.031200855525387143j),2597.7281211729255
184,4.54969375,0.0046230505073559846,(-0.03430113650451705+0.021095637932025787j),2598.2614260633327
185,4.54979375,0.003369640947193645,(-0.016148839597507954-0.03067364655067851j),2598.7947309537394
186,4.54989375,0.00444817568349451,(0.013516307925165866-0.0064174305582223j),2599.3280358441466
187,4.54999375,0.0027838579359773055,(0.07859125181244499+0.07498876954741736j),2599.861340734554
188,4.55009375,0.0034642055201222184,(-0.1273022100249426+0.05519676916505485j),2600.394645624961
189,4.55019375,0.004245408318081917,(0.0021420298055097754+0.01325849698335954j),2600.927950515368
190,4.550293750000001,0.0035786888877593587,(-0.030896591680687632-0.036945680085017966j),2601.461255405775
191,4.5503937500000005,0.006309043105740521,(0.025532704858953717+0.03443035869480328j),2601.994560296182
192,4.55049375,0.004495862385477261,(-0.013712996209679786+0.025667197035120555j),2602.527865186589
193,4.55059375,0.0058073313336569,(0.014772862166265638+0.04931202633143186j),2603.0611700769964
194,4.550693750000001,0.004627427396698737,(-0.009430588426760568-0.031516636574067676j),2603.5944749674036
195,4.55079375,0.005200554809351649,(0.013038447420667228-0.03682726746377447j),2604.1277798578103
196,4.55089375,0.00552041718267266,(0.0934574711064311+0.020464236874768813j),2604.6610847482175
197,4.55099375,0.004605240102221349,(0.019235148505523568+0.09204093335438457j),2605.1943896386247
198,4.551093750000001,0.005741968478020365,(0.005769799712092929-0.035680161370587084j),2605.727694529032
199,4.55119375,0.004117044448462055,(-0.030010920108389832+0.04642572103785106j),2606.260999419439
200,4.55129375,0.006111511621224781,(0.04174761482135132-0.012755700829830045j),2606.7943043098458
201,4.55139375,0.005290713095866734,(0.05910805659334223+0.05819788931701073j),2607.327609200253
202,4.551493750000001,0.006615673725865527,(-0.0069994214327760255+0.05094887275888006j),2607.86091409066
203,4.55159375,0.00702000277493871,(0.04544955360661013+0.03153134738535488j),2608.3942189810673
204,4.55169375,0.006179470664269778,(0.08133978088019464+0.08227814568820618j),2608.9275238714745
205,4.551793750000001,0.007286619929559965,(-0.1213715007298602+0.15121296597278486j),2609.460828761881
206,4.5518937500000005,0.007714244280227979,(-0.00993187215220577-0.06147124828914577j),2609.9941336522884
207,4.55199375,0.0068690114660278625,(-0.0416927453855729+0.03004325059724378j),2610.5274385426956
208,4.55209375,0.007759978079621835,(0.008813912553990963-0.008014565865990537j),2611.0607434331027
209,4.552193750000001,0.0058371562674298895,(0.003916477860542127+0.0018057065836097955j),2611.5940483235095
210,4.5522937500000005,0.006832017494172162,(0.05612279607066892-0.04021703212493245j),2612.1273532139166
211,4.55239375,0.0060781038989802,(-0.035245212596230105+0.020157718073808516j),2612.660658104324
212,4.55249375,0.006373326593965029,(-0.010381658462691078-0.002457971978745089j),2613.193962994731
213,4.552593750000001,0.006941545539246933,(0.0431441543935432+0.04970128687038423j),2613.727267885138
