,t,y,fft,fftfreq
0,22.50009375,0.0012574735280783537,(0.029475004032612634+0.008684633096157544j),-4999.900002011613
1,22.50019375,0.002351176839896601,(-0.05304471324779325+0.018052213115108504j),-4999.700006011532
2,22.50029375,0.004229322052904109,(0.10020511913518805-0.07801475794086583j),-4999.500010011452
3,22.50039375,0.005169066272295173,(0.04667657251487835-0.007186917635326685j),-4999.300014011371
4,22.50049375,0.004665929521193384,(0.027961438762694676-0.006897882067409215j),-4999.100018011291
5,22.50059375,0.003966483548076705,(-0.02032335966061903-0.028641608623827225j),-4998.90002201121
6,22.50069375,0.003724883053766813,(-0.0640479352000068-0.0475417978003825j),-4998.70002601113
7,22.50079375,0.003739315872128153,(0.04820180732661997-0.027112835002073427j),-4998.50003001105
8,22.50089375,0.0053057376412713984,(-0.018319895271259195-0.028370075470946117j),-4998.300034010969
9,22.50099375,0.003926317654819425,(0.043276970110879595-0.027721872510657938j),-4998.100038010888
10,22.50109375,0.005206169069281886,(-0.07321652753204216+0.0020270807616471764j),-4997.900042010808
11,22.50119375,0.003935457960574058,(0.045039854143735514-0.012408771704717683j),-4997.700046010727
12,22.50129375,0.004417711290780188,(-0.004588813006138745+0.018080471331710382j),-4997.500050010647
13,22.50139375,0.004728707517023588,(0.04972909362878875-0.009020292857637693j),-4997.300054010567
14,22.50149375,0.004830289073744544,(0.04190673448136786-0.04578863074906461j),-4997.1000580104865
15,22.50159375,0.004887077123135562,(-0.007444854675315529+0.0015764607910292634j),-4996.900062010405
16,22.50169375,0.005726637983374643,(0.031372084799297574-0.004847068510566004j),-4996.700066010325
17,22.50179375,0.006479334332309157,(-0.0373470335555046-0.013788556396179463j),-4996.500070010245
18,22.50189375,0.00603856545293645,(-0.05787138152401482-0.04178481671712159j),-4996.300074010164
19,22.50199375,0.005616159828614919,(-0.002854316895029467+0.011360638790392103j),-4996.100078010084
20,22.50209375,0.006278753013947894,(-0.10428956598409886-0.028761560684745453j),-4995.900082010004
21,22.50219375,0.0072053563737127495,(0.01565337365964541+0.023566917934591758j),-4995.700086009922
22,22.50229375,0.006832969044117932,(-0.05337094366172583-0.015329053797188831j),-4995.500090009842
23,22.50239375,0.005551507586005219,(-0.010378463465442033+0.0316790502224499j),-4995.300094009762
24,22.50249375,0.00455194456289637,(-0.02816583227179706-0.008064454326335867j),-4995.1000980096815
25,22.50259375,0.005792031366389901,(-0.015046301359401867+0.03641926024531425j),-4994.900102009601
26,22.50269375,0.008285564924037675,(-0.008251173159326556-0.04942430829800177j),-4994.700106009521
27,22.50279375,0.00772724032185711,(0.03008724467209809+0.03625204077206974j),-4994.50011000944
28,22.50289375,0.0067197633252195615,(0.004535744338317049-0.043773164110709466j),-4994.300114009359
29,22.50299375,0.005406527556397934,(-0.0673344059357815+0.0739356717520909j),-4994.100118009279
