S1 Real/Imag g,S1  0-Z:0-Z,S2 Real/Imag g,S2 0-Z:0-Z
0j,(-0.019797528843090842-0.07507352861740103j),0j,(-0.02895450914248337-0.08408404195721443j)
(9.566077287569024e-06+0j),(-0.016974416670746246-0.004302740088640724j),(9.566077287569024e-06+0j),(-0.00244271997928157+0.017372165699463746j)
(1.9132154575138048e-05+0j),(-0.0005716697609230188+0.010271811232850397j),(1.9132154575138048e-05+0j),(-0.006254690992205969+0.010161578828260581j)
(2.8698231862707076e-05+0j),(-0.0032520515394269113+0.0018560010041199352j),(2.8698231862707076e-05+0j),(-0.008018353339149121+0.003924767812541416j)
(3.8264309150276096e-05+0j),(-0.0016469176134556957+0.005979444021459099j),(3.8264309150276096e-05+0j),(-0.0081886629418865+0.003604988793791776j)
(4.7830386437845124e-05+0j),(-0.0021715649555800677-0.0003506682135665044j),(4.7830386437845124e-05+0j),(-0.008820957521779796+0.0014054623656446267j)
(5.739646372541415e-05+0j),(-0.0016358563591001678+0.010071430527082408j),(5.739646372541415e-05+0j),(-0.011770705981123949-0.003274771238908903j)
(6.696254101298318e-05+0j),(-0.0007961572701141793-0.011684076369360641j),(6.696254101298318e-05+0j),(0.011146504199320563-0.006998430810259088j)
(7.652861830055219e-05+0j),(-0.0027451895984692545-0.0020780234726807075j),(7.652861830055219e-05+0j),(0.0031327693832136263-0.0018591316460899881j)
(8.609469558812122e-05+0j),(0.00032961334157409857+4.444879081969028e-05j),(8.609469558812122e-05+0j),(0.002668419382267995+4.321197834093177e-05j)
(9.566077287569025e-05+0j),(-0.0012027965557453457-0.0007790148032817193j),(9.566077287569025e-05+0j),(0.0008351790905954347+0.0006051325363237954j)
(0.00010522685016325928+0j),(0.0008529418190244452+0.0014000347319966051j),(0.00010522685016325928+0j),(-9.970975700911321e-05+0.0020623424245809156j)
(0.0001147929274508283+0j),(-0.0014388875294283918+0.0006135225907206036j),(0.0001147929274508283+0j),(-0.0018919945434131484+0.002125794340960722j)
(0.00012435900473839733+0j),(-0.0005501148256475849+0.014863667516971667j),(0.00012435900473839733+0j),(-0.0053031282881447145-0.005378908623505293j)
(0.00013392508202596636+0j),(-0.0012866786971746315-0.004048985625423965j),(0.00013392508202596636+0j),(0.0018088350973248432-0.0002797974700657271j)
(0.00014349115931353539+0j),(-0.0013120031843100127+7.992191584598094e-05j),(0.00014349115931353539+0j),(0.0007098843957939-0.0008957998044747977j)
(0.00015305723660110439+0j),(0.00033534279019260474-0.0007222641911288738j),(0.00015305723660110439+0j),(0.0010020319265153135-0.0008545595165892799j)
(0.0001626233138886734+0j),(-0.0011215394852052286-0.0006435415030192206j),(0.0001626233138886734+0j),(0.0013101044052880163-0.0006624917504933332j)
(0.00017218939117624244+0j),(-0.000459448624991077-0.0020309323775669014j),(0.00017218939117624244+0j),(0.0028038887937652307+0.0004217999084358756j)
(0.00018175546846381147+0j),(0.001880086736494659-0.001290474604707335j),(0.00018175546846381147+0j),(-0.0013263651057177643+0.0028322977295362744j)
(0.0001913215457513805+0j),(-0.0025343467429884713+0.004639576510526164j),(0.0001913215457513805+0j),(-0.0019675398539795138-0.0028377073395545304j)
(0.00020088762303894952+0j),(-0.0013863488408867358-0.00024732672411091643j),(0.00020088762303894952+0j),(-0.0005264467900755375+0.0001700534046325663j)
(0.00021045370032651855+0j),(-0.00014580279030696155+0.001660183784586596j),(0.00021045370032651855+0j),(-0.0012160297519235631-0.00017677834357028436j)
(0.00022001977761408758+0j),(0.0004796978010680952-0.00010377021907523425j),(0.00022001977761408758+0j),(-0.000926645639962056-0.0008162433159657577j)
(0.0002295858549016566+0j),(0.000345680436778982+0.0004996750938051171j),(0.0002295858549016566+0j),(-0.0012771018837683865-0.0009033196695914139j)
(0.00023915193218922563+0j),(0.0005686628601439714-0.0001791036813037699j),(0.00023915193218922563+0j),(-0.001263655179281806-0.000967504787798333j)
(0.00024871800947679466+0j),(0.0006124406422599781-0.0008915818828402976j),(0.00024871800947679466+0j),(0.0006918874339533412-6.599640047033213e-05j)
(0.00025828408676436366+0j),(0.0006422327446566128-0.00014646534828137008j),(0.00025828408676436366+0j),(0.000871958004402312+0.001261383897722431j)
(0.0002678501640519327+0j),(-0.0011018325154461429+0.0001790426062769116j),(0.0002678501640519327+0j),(0.0003810132377156622+0.00012960665436898935j)
(0.0002774162413395017+0j),(-0.0002290879772189077+0.001114024692103684j),(0.0002774162413395017+0j),(0.00047515782304645134+0.0004902252761337032j)
(0.00028698231862707077+0j),(-0.00033306093390051756-0.00024942564397786914j),(0.00028698231862707077+0j),(-0.00027157547831539985+0.0003509195179848414j)
(0.00029654839591463977+0j),(-0.000674699262380481+0.0007517875384565783j),(0.00029654839591463977+0j),(-0.0001773048153870101-1.5404618040994556e-05j)
(0.00030611447320220877+0j),(-0.0015971760299993332+0.0005484586283009114j),(0.00030611447320220877+0j),(0.0006185438877431545-0.0009061961605054622j)
(0.0003156805504897778+0j),(-0.0001260479466489458-0.00028867237233917915j),(0.0003156805504897778+0j),(-4.010144382275274e-05+0.0002666146707876767j)
(0.0003252466277773468+0j),(0.0002748394148694898-0.0009305171042666058j),(0.0003252466277773468+0j),(-9.871102187129926e-05-7.074393700919803e-06j)
(0.0003348127050649159+0j),(-0.0005457184429377716-0.00034074439823779005j),(0.0003348127050649159+0j),(4.038166456243752e-05+8.884113251128551e-05j)
(0.0003443787823524849+0j),(0.0006010548853201852+0.0003850579400995156j),(0.0003443787823524849+0j),(0.00020254282721187517-3.894186188556034e-05j)
(0.00035394485964005394+0j),(-0.00038563444258067235-0.0003666297464107389j),(0.00035394485964005394+0j),(0.0008618782071776054+3.0642264021786444e-05j)
(0.00036351093692762294+0j),(0.00022111835751910183+0.0005255819631675105j),(0.00036351093692762294+0j),(-5.8736299648542654e-05+0.0006880520316494019j)
(0.000373077014215192+0j),(-0.0007059835800613798+0.0002583103985129278j),(0.000373077014215192+0j),(0.00023035693559943476+5.928400341597026e-05j)
(0.000382643091502761+0j),(-0.00014916478933947168+0.0006680304713885819j),(0.000382643091502761+0j),(-0.0005601868300653098-0.0003380983438413507j)
(0.00039220916879033+0j),(-0.0004919380352372843-0.0001474237617058851j),(0.00039220916879033+0j),(-0.00036411047309920874-0.00018068455475194584j)
(0.00040177524607789905+0j),(-0.0009196603094692849+0.0008262997394533961j),(0.00040177524607789905+0j),(4.044332475683694e-05-0.0007023946395085665j)
(0.00041134132336546805+0j),(0.00024788112389509365+0.00019037722406471357j),(0.00041134132336546805+0j),(-0.00011402750969706497-0.000450924153580405j)
(0.0004209074006530371+0j),(-0.0005104505714828302+0.00018922731760831642j),(0.0004209074006530371+0j),(0.00010180945001747114-0.0005679472071524748j)
(0.0004304734779406061+0j),(-0.0002807815031878886+0.00024474546346853535j),(0.0004304734779406061+0j),(0.0013211493289948925-0.00046169218500839726j)
(0.00044003955522817516+0j),(0.0006855472849992962+0.0004451523742789533j),(0.00044003955522817516+0j),(-0.0002194238531714168+0.00022188091304878766j)
(0.00044960563251574416+0j),(0.0009344462216270854+1.9845197857738793e-06j),(0.00044960563251574416+0j),(-0.0008654393419572995+0.00017167227467590837j)
(0.0004591717098033132+0j),(-0.0002855603828344821-0.00036796010224125693j),(0.0004591717098033132+0j),(-9.652899486881032e-05+0.0001425488160074941j)
(0.0004687377870908822+0j),(-1.0311932528339897e-05+0.0005126350329296949j),(0.0004687377870908822+0j),(-0.0006959589303648432+0.00018799354271637115j)
(0.00047830386437845127+0j),(0.0002655891930082977-8.334779089699492e-05j),(0.00047830386437845127+0j),(-0.0007229830615199334-0.0001476490617409633j)
(0.00048786994166602027+0j),(-0.0003564097328297815+0.0005285987518521887j),(0.00048786994166602027+0j),(-0.00018789981172702896-0.0006765819825201169j)
(0.0004974360189535893+0j),(-0.00030366732855926734-0.00021728998596524132j),(0.0004974360189535893+0j),(-0.00014364299809762108-0.000355224750937557j)
(0.0005070020962411583+0j),(-8.289791284111692e-05+0.00018955999058316354j),(0.0005070020962411583+0j),(0.00021221802995924076-0.00012742869110087134j)
(0.0005165681735287273+0j),(0.00011146106761511079+0.00019156432031745347j),(0.0005165681735287273+0j),(0.0005565253054119288+0.00016064322543119959j)
(0.0005261342508162964+0j),(-0.0008716972897020353+8.672030882956934e-05j),(0.0005261342508162964+0j),(0.0005157815460691585+8.212918481692497e-05j)
(0.0005357003281038654+0j),(0.00015134026089843163+0.0006993544570697001j),(0.0005357003281038654+0j),(0.00011972269399669501+2.9726175910026274e-05j)
(0.0005452664053914344+0j),(2.8821826901077644e-05-0.0001668166259832123j),(0.0005452664053914344+0j),(-0.0004071190229680636+0.00031222488209189383j)
(0.0005548324826790034+0j),(-0.000291945780916826+0.000227220628273265j),(0.0005548324826790034+0j),(-0.00027500889520934777-0.0002526698902577114j)
(0.0005643985599665725+0j),(0.0004257548577654976+0.0002176799631381225j),(0.0005643985599665725+0j),(-0.0008486510324211594-0.0008252125118955939j)
(0.0005739646372541415+0j),(2.2285576938232337e-05+0.0005120169943888668j),(0.0005739646372541415+0j),(2.8143249677309424e-06-0.0006942852981077629j)
(0.0005835307145417105+0j),(0.0003366369292574899-0.00036877391522961245j),(0.0005835307145417105+0j),(7.877127186942114e-05-5.719160594756285e-06j)
