,t,y,fft,fftfreq
0,3.74999375,-0.0018071604084810844,(51.22192011135752+4.440892098500626e-16j),0.0
1,3.75009375,-0.0007704849527173138,(-0.042275687732793825-0.0028763385127098936j),1.0665529010216401
2,3.75019375,-0.0008185447086282327,(-0.07102927416852219+0.010280599834022342j),2.1331058020432803
3,3.75029375,0.003946147261268236,(-0.02416471322342667-0.15840416678104588j),3.1996587030649204
4,3.75039375,0.007983243527633403,(-0.311392808262865+0.06966902539787773j),4.2662116040865605
5,3.75049375,0.004644940666820601,(-0.03743698736058247-0.11255097812730441j),5.332764505108201
6,3.75059375,0.0005250288179723716,(-0.0026270782210245187+0.024630983514549863j),6.399317406129841
7,3.75069375,0.004087208653961037,(-0.126038661337352+0.005597466259767685j),7.465870307151481
8,3.75079375,0.0039740995517469685,(0.08911512686547403-0.18240531021062162j),8.532423208173121
9,3.75089375,0.004249499435040533,(0.05794267108238041-0.11582979268859392j),9.598976109194762
10,3.75099375,0.0030569439654143313,(-0.18352776749349634-0.023679339816336763j),10.665529010216401
11,3.75109375,0.005271807234566377,(0.06635742617590569-0.08706307208194779j),11.73208191123804
12,3.75119375,0.006547547791825632,(-0.23688887302953512+0.21460438419418848j),12.798634812259682
13,3.75129375,0.009193688703394438,(-0.06999054180736551+0.06937805120011806j),13.865187713281323
14,3.75139375,0.004886088775642853,(-0.23023674588760182-0.007632333947262702j),14.931740614302962
15,3.75149375,0.0053524757966036795,(-0.036801897318475434-0.06814790852021144j),15.998293515324601
16,3.75159375,0.0025233568244141667,(-0.15419940042244298+0.09454187253818537j),17.064846416346242
17,3.75169375,0.001212234904318513,(-0.18006344122141663-0.277762303611792j),18.131399317367883
18,3.75179375,0.0006464280350016197,(-0.042406782623076233+0.030332356593145697j),19.197952218389524
19,3.75189375,-0.002854790591279983,(-0.016881586842864355-0.04127220881869626j),20.26450511941116
20,3.75199375,0.003161770281010975,(-0.1015158516931668-0.17988627544990227j),21.331058020432803
21,3.75209375,0.0020748363306139495,(-0.04579751453731125+0.07833479584020998j),22.397610921454444
22,3.75219375,0.0012097372750961978,(0.12394153374247377-0.015761142859723513j),23.46416382247608
23,3.75229375,0.00948164778042058,(-0.1366042403718351+0.2346465436771006j),24.530716723497722
24,3.75239375,0.0034621688040323024,(-0.014289200472153131-0.07038916711876053j),25.597269624519363
25,3.75249375,0.009262290561720213,(0.11688828930665815-0.19372063181359178j),26.663822525541004
26,3.75259375,0.002827170906940811,(0.08283710390127458-0.14089441092331242j),27.730375426562645
27,3.75269375,0.0032257411155752294,(-0.09816974601547265-0.03581471735456937j),28.796928327584283
28,3.75279375,0.0037831796636587497,(0.01615842055926541+0.16698023562287104j),29.863481228605924
29,3.75289375,-0.0007160252624731237,(0.0024106374288314462+0.021035044676429644j),30.930034129627565
30,3.75299375,0.0017619628840315703,(-0.09310172134188356-0.14641370989991864j),31.996587030649202
31,3.75309375,0.0007748637434644653,(-0.1627048426086728+0.1154819743006274j),33.06313993167085
32,3.75319375,0.0021510297202372397,(-0.05121740986024051+0.07676650290853727j),34.129692832692484
33,3.75329375,0.007035576023458366,(-0.07711658345650316+0.17107590114235607j),35.19624573371412
34,3.75339375,0.0045614591340561,(-0.12185886562085292-0.09129307034431777j),36.262798634735766
35,3.75349375,0.010639250080544435,(-0.11167710935293618-0.05326240764215695j),37.329351535757404
36,3.75359375,0.0044676928037910724,(-0.12517141854339536+0.03989277243162097j),38.39590443677905
37,3.75369375,0.003910943618021427,(-0.1842415387059313+0.021606081445266885j),39.462457337800686
38,3.75379375,0.0027948482993757824,(0.06648473879476349+0.08513754924957205j),40.52901023882232
39,3.75389375,0.0025501753793433597,(0.009357604925264149+0.1216100725885376j),41.59556313984397
40,3.75399375,-0.0003342601067970978,(-0.2122706695581873+0.041596688004271506j),42.662116040865605
41,3.75409375,0.003246753371085747,(-0.18994966032901828-0.04829416057644663j),43.72866894188724
42,3.75419375,0.003849185111718537,(0.024416333933676634-0.15546585075250657j),44.79522184290889
43,3.75429375,0.004736147039363814,(0.1002541208917137+0.10760470807663375j),45.861774743930525
44,3.75439375,0.008692831871634258,(0.07324023185489281-0.008782351471424796j),46.92832764495216
45,3.75449375,0.007998848038798412,(-0.1572204564971249+0.11890701777743275j),47.99488054597381
46,3.75459375,0.008545574685457979,(0.01025441911322315-0.007394195865933576j),49.061433446995444
47,3.75469375,0.00951291848112555,(-0.15161144692570658+0.10301798940058127j),50.12798634801709
48,3.75479375,0.006692947791902973,(-0.1017982254562851-0.2117387514739108j),51.194539249038726
49,3.75489375,0.0033625236102452537,(-0.13637201280401892-0.0886030768752632j),52.261092150060364
50,3.75499375,0.006642876371946868,(-0.07560590156848994-0.19381424881243575j),53.32764505108201
51,3.75509375,0.0023015619894244687,(-0.20053391027068976+0.02587200021155811j),54.394197952103646
52,3.75519375,0.010611119498181033,(0.10153510200376248+0.03724869008671594j),55.46075085312529
53,3.75529375,0.003181217817515778,(-0.21585917043043715-0.253049320013231j),56.52730375414693
54,3.75539375,0.010530411577503342,(-0.25179056083234513+0.018316457047193244j),57.593856655168565
55,3.75549375,0.010005103943666247,(-0.06243409142852446-0.023965450748636527j),58.66040955619021
56,3.75559375,0.007111837686892211,(-0.05980814035447788-0.032080355705844034j),59.72696245721185
57,3.75569375,0.011978494614523971,(-0.08514940736402102-0.026986908559622658j),60.793515358233485
58,3.75579375,0.008831477636890999,(-0.11763943236552221+0.11817888081079313j),61.86006825925513
59,3.75589375,0.005468807797276806,(-0.15413430451188065+0.04993298494897392j),62.92662116027677
60,3.75599375,0.00856696986333393,(-0.05707708079538683+0.22775389446429933j),63.993174061298404
61,3.75609375,0.006157322059630265,(0.08947812328939278+0.016203452784690077j),65.05972696232004
62,3.75619375,0.008001923795857225,(-0.15474417802656215-0.024447400728506142j),66.1262798633417
63,3.75629375,0.0050713657283988686,(-0.19186121404305745+0.15156555924558363j),67.19283276436333
64,3.75639375,0.005687699913388749,(-0.1877463288668537+0.14115609598665732j),68.25938566538497
65,3.75649375,0.009062744390861655,(0.03973894183086234+0.13173159012170396j),69.3259385664066
66,3.75659375,0.004727794025147129,(-0.14484055540014776+0.0032616531128061912j),70.39249146742824
67,3.75669375,0.009189706255431352,(-0.13937190905779995+0.09021356783604863j),71.4590443684499
68,3.75679375,0.010355546511656918,(-0.25456653917626365+0.20643079893905858j),72.52559726947153
69,3.75689375,0.007937821183458758,(-0.006057218093484709-0.20354962166249466j),73.59215017049317
70,3.75699375,0.009282591571507572,(-0.09726160109653487+0.06969623726179981j),74.65870307151481
71,3.75709375,0.005953872101452864,(-0.031381011377496645-0.08676783098160569j),75.72525597253644
72,3.75719375,0.007560511130608124,(-0.17359520295802028+0.01078330504605908j),76.7918088735581
73,3.75729375,0.007524740031459214,(-0.24942741387641582-0.036005316785645j),77.85836177457973
74,3.75739375,0.004726244261274219,(-0.21686354907374816-0.07973258257611163j),78.92491467560137
75,3.75749375,0.01046336134823353,(-0.2116353896419424-0.025852296930779776j),79.99146757662301
76,3.75759375,0.007680655979330217,(-0.33399416442376745-0.018048454886968393j),81.05802047764465
77,3.75769375,0.009365793990753418,(-0.1692225394860055-0.0689848720080252j),82.12457337866628
78,3.75779375,0.006894709198565576,(-0.19221504599205397-0.14838160541999934j),83.19112627968794
79,3.75789375,0.007139087216825459,(-0.13534886877083013-0.010019979511177564j),84.25767918070957
80,3.75799375,0.00937192357402512,(-0.06825709744673766+0.06275836190847225j),85.32423208173121
81,3.75809375,0.005743465915628378,(-0.11217680332060197+0.06801613865432712j),86.39078498275285
82,3.75819375,0.003116542526556206,(0.041938778653447896-0.06775382375504505j),87.45733788377449
83,3.75829375,0.010386302041169629,(-0.09504044143025946+0.0672116186628628j),88.52389078479614
84,3.75839375,0.0017860211337107162,(0.03562150285901701+0.050817801081989966j),89.59044368581777
85,3.75849375,0.008375604634742774,(-0.2984512070632527+0.1115516915718296j),90.65699658683941
86,3.75859375,0.004663542268689156,(-0.10369295726607743-0.07946728691871614j),91.72354948786105
87,3.75869375,0.0018378638822655112,(-0.30296191541319784-0.12654282672317319j),92.79010238888269
88,3.75879375,0.0068256748452184815,(-0.19496350089241432+0.02631630831995653j),93.85665528990432
89,3.75889375,0.0018135108530309247,(-0.1827829472044647-0.220627740126579j),94.92320819092598
90,3.75899375,0.006449373849057583,(-0.2736205619174799+0.2533725636865712j),95.98976109194761
91,3.75909375,0.004077995825171856,(-0.16142863975715002+0.03567230807906668j),97.05631399296925
92,3.75919375,0.00013705864217727697,(-0.25409654176463564+0.05474483026675418j),98.12286689399089
93,3.75929375,0.005413804364048709,(-0.3242238153208352-0.033281168906126944j),99.18941979501253
94,3.75939375,-0.0003313729299400709,(-0.010360443918644994+0.035851673374075826j),100.25597269603418
95,3.75949375,0.0074256605495976805,(-0.195886532917768+0.060487263843469155j),101.32252559705582
96,3.75959375,0.006530245250231727,(-0.02651913021050151-0.05661661224165306j),102.38907849807745
97,3.75969375,0.0018587268671109239,(0.0024351208033434476+0.04275725692465199j),103.45563139909909
98,3.75979375,0.00899663292413747,(-0.00046072215948241273+0.03680440977954853j),104.52218430012073
99,3.75989375,0.0037201841151276688,(-0.2150298877198689+0.1800249692553477j),105.58873720114238
100,3.75999375,0.0035198326356005614,(-0.24273075502264502+0.3028243620913738j),106.65529010216402
101,3.76009375,0.005030788147061503,(-0.4886880747529251+0.12886098745440866j),107.72184300318565
102,3.76019375,-0.0010332181485421567,(-0.4203389776796339+0.02002909069965747j),108.78839590420729
103,3.76029375,-0.0014451966609816751,(-0.3807124294787081-0.15260245400042344j),109.85494880522893
104,3.76039375,0.0037311805320541513,(-0.3029794024399328-0.22727079990743934j),110.92150170625058
105,3.76049375,-0.0012961219422551586,(-0.4436862790701426+0.37675391488677296j),111.98805460727222
106,3.76059375,0.005752127288949804,(-0.4993350926256259+0.12642098803078822j),113.05460750829386
107,3.76069375,0.0028238774585588595,(-0.7439971506166511+0.16350240054035498j),114.1211604093155
108,3.76079375,0.0025513061095085,(-0.7673033103756084+0.2743906806843706j),115.18771331033713
109,3.76089375,0.00819310279406288,(-0.943350569858521+0.07187246876658526j),116.25426621135877
110,3.76099375,0.0036831328023683193,(-1.0292174801393086+0.1439713644175699j),117.32081911238042
111,3.76109375,0.00796454621710888,(-2.3739235809724093+0.27008194974949085j),118.38737201340206
112,3.76119375,0.005668112124753579,(-7.17898206770103+1.1136747723403952j),119.4539249144237
113,3.76129375,0.001226134104556694,(6.62286120743768-0.7262329443794737j),120.52047781544533
114,3.76139375,0.008696773160156336,(2.18999583079528-0.32120662985178094j),121.58703071646697
115,3.76149375,0.0014780363772017207,(1.407639113497161-0.041675221823343656j),122.65358361748862
116,3.76159375,0.007767254594258911,(0.8831713952866794-0.3056959221628671j),123.72013651851026
117,3.76169375,0.0039733930559696165,(0.8941994640678498-0.16311802831031802j),124.7866894195319
118,3.76179375,-0.0014815063679181968,(0.524676988211231-0.01294425634895231j),125.85324232055353
119,3.76189375,0.004412296187012825,(0.4576443138551831-0.14295765276484773j),126.91979522157517
120,3.76199375,0.001409074532556022,(0.4806420111998501-0.023281543975778148j),127.98634812259681
121,3.76209375,0.004036514799102098,(0.30845863307035437+0.14426394309480484j),129.05290102361846
122,3.76219375,0.0019484827747948217,(0.33149655098923864-0.10018998330587764j),130.11945392464008
