,t,y,fft,fftfreq
0,6.5625937500000004,0.00043823051055917524,(-0.6178123475291556-0.9033323882816984j),-2499.93333511689
1,6.56269375,0.004340516722479637,(1.019519481159532-0.6613021432158822j),-2499.666675561144
2,6.56279375,0.00445451668373588,(0.7008506527788776+0.28517283546084293j),-2499.4000160053984
3,6.562893750000001,-0.006786901942858651,(-1.0313142683043297-0.49418997673746873j),-2499.133356449652
4,6.56299375,0.008413999179036577,(0.7587249813635148-0.23688900086373338j),-2498.8666968939065
5,6.56309375,0.007122111013147801,(2.2132970358061925-0.8380417518308811j),-2498.6000373381607
6,6.56319375,0.009295710863510394,(0.3889100917097775+1.1672323790439534j),-2498.333377782415
7,6.563293750000001,0.007976621346983497,(0.7916469780839364+0.4457024114372151j),-2498.0667182266693
8,6.56339375,0.00869600177553552,(0.4265711417177104+1.7626867238824908j),-2497.8000586709236
9,6.56349375,0.013018053991711598,(-0.04906230433184447+0.45961759165060145j),-2497.5333991151774
10,6.56359375,-0.0007792690684316689,(0.24727074279280647+0.14832462878216018j),-2497.2667395594317
11,6.5636937500000005,0.0035338929678248136,(-0.43554945827300506+1.596145049927868j),-2497.000080003686
12,6.56379375,0.003674641315100098,(-1.5564099774233673+0.7458460288934748j),-2496.7334204479403
13,6.56389375,0.0029944534610735728,(0.1432472970584685-1.1762786720223892j),-2496.4667608921945
14,6.563993750000001,0.008266444363137927,(1.287790929405599+1.1912837983398665j),-2496.2001013364484
15,6.5640937500000005,0.007772070960411099,(-0.06593024119571234+0.7371512581285014j),-2495.9334417807027
16,6.56419375,0.01045960094205971,(0.005108145464060632+0.6076427526716698j),-2495.666782224957
17,6.56429375,0.010026860203357836,(-0.7560233356601409+1.5529689470309544j),-2495.400122669211
18,6.564393750000001,0.008460257870398826,(-1.983010741093954+1.3849407175555073j),-2495.1334631134655
19,6.5644937500000005,0.013617279692084063,(-2.014242827545607-1.6588037155698314j),-2494.86680355772
20,6.56459375,0.007750907717001698,(0.27959736525377676-2.0711431435491665j),-2494.6001440019736
21,6.56469375,0.008200116722686489,(1.8360110461465633-0.6213857551125372j),-2494.333484446228
22,6.564793750000001,0.0027389369178072768,(0.23465607673344901+1.7453020469375753j),-2494.066824890482
23,6.56489375,0.004225415988402358,(-0.8675940775493695+0.258741041978649j),-2493.8001653347364
24,6.56499375,0.00441793408964614,(-0.7801929823653693-0.03928643673995119j),-2493.5335057789907
25,6.56509375,0.005148238169733277,(0.7448348824365416-1.591632144348194j),-2493.2668462232446
26,6.565193750000001,0.008124960142421051,(1.1894421143872154+0.37609892654857424j),-2493.000186667499
27,6.56529375,0.012929647468661338,(0.09457518619491695+0.8116829237240992j),-2492.733527111753
28,6.56539375,0.011130094640270536,(-0.01634495802202124+0.7714226776519924j),-2492.4668675560074
29,6.56549375,0.012026363075172292,(-0.8083938941811278-0.6628196757439971j),-2492.2002080002617
30,6.565593750000001,0.011370811891426429,(0.6773970584762418-0.3126668212128426j),-2491.933548444516
31,6.56569375,0.010912661972041854,(0.7674825900630262+0.3525845899607909j),-2491.66688888877
32,6.56579375,0.0020459175566898704,(0.24947932506974452+1.19887723237163j),-2491.400229333024
33,6.565893750000001,0.0038850246428875157,(-1.4406020186942494+0.8065483213739892j),-2491.1335697772784
34,6.5659937500000005,0.004474912011693272,(-0.46020588057012685+0.8279170696164246j),-2490.8669102215326
35,6.56609375,0.0011145126575176367,(-0.5632167913162581+0.4435903929609654j),-2490.600250665787
36,6.56619375,0.0074416000369672336,(-2.2675630419877635+0.09027435676775597j),-2490.3335911100407
37,6.566293750000001,0.010836629623133028,(-1.0594235822029496-2.3841084965934356j),-2490.066931554295
38,6.5663937500000005,0.010916358606099174,(0.8543705366042008-1.751819859130771j),-2489.8002719985493
