,t,y,fft,fftfreq
0,12.50009375,-0.009825963901802463,(0.25741177960863937+0.38473074386031664j),-2499.971428903782
1,12.50019375,-0.0059567670898553705,(0.0615758153917673+0.07512807393547702j),-2499.8571444956033
2,12.50029375,-0.019403106430794934,(0.021618113059677965+0.08629428184266827j),-2499.742860087425
3,12.50039375,0.007304230599413603,(-0.4523727735993784-0.023420556437748402j),-2499.6285756792463
4,12.50049375,0.01563750383590627,(0.49540926339217334+0.08957813829473923j),-2499.514291271068
5,12.50059375,0.02354993905141714,(0.04359590996735806-0.2557176815813128j),-2499.4000068628898
6,12.50069375,0.02642297374787743,(-0.22013734539635027+0.2238547545075019j),-2499.285722454711
7,12.50079375,0.009870894282903076,(0.14232827476372314-0.2405660393389859j),-2499.171438046533
8,12.50089375,0.006870835955478617,(-0.11890827862556205+0.3451280013932268j),-2499.057153638354
9,12.50099375,-0.007480094615741052,(-0.1261938729120993-0.2831321424852754j),-2498.942869230176
10,12.50109375,0.0004701513899381625,(-0.02544000659974721-0.40136686055153575j),-2498.828584821997
11,12.50119375,-0.02143322120686108,(-0.06423545392561719+0.13214570809860357j),-2498.714300413819
12,12.50129375,0.0017583139193702447,(-0.30984122722648066-0.29394711363123704j),-2498.6000160056406
13,12.50139375,0.006832695390558339,(0.11155881044571418-0.33193922167204837j),-2498.485731597462
14,12.50149375,0.020005561592202,(0.3440958108441554-0.13221680864066868j),-2498.3714471892836
15,12.50159375,0.026900803180924002,(-0.16191793189566317-0.13479654498123425j),-2498.257162781105
16,12.50169375,0.019390609113488364,(0.06941646904904852+0.47711669550114577j),-2498.1428783729266
17,12.50179375,0.01193107703641129,(-0.24123885939432915-0.18096506586535038j),-2498.028593964748
18,12.50189375,-0.005852887324427859,(-0.19094804803088775+0.020886490058698803j),-2497.9143095565696
19,12.50199375,0.0030092745246067436,(0.02191596595272869+0.1251561956809425j),-2497.8000251483913
20,12.50209375,-0.01799734157748773,(0.07844203571574317-0.029912082633225142j),-2497.6857407402126
21,12.50219375,-0.001419641716032309,(0.09251679248607683-0.11563038223682626j),-2497.5714563320344
22,12.50229375,0.003701938037206028,(0.14312260863430745-0.3966734455294617j),-2497.4571719238556
23,12.50239375,0.015293893562252997,(0.17818481271591097+0.11985483045599453j),-2497.3428875156774
24,12.50249375,0.03247672820726722,(-0.1520852057698452+0.33766152979364017j),-2497.2286031074987
25,12.50259375,0.020640016158173836,(-0.08751726065996968-0.18378056675863857j),-2497.1143186993204
26,12.50269375,0.01867198837768734,(-0.1296995491394984+0.1908735157976038j),-2497.000034291142
27,12.50279375,-0.006491947719997425,(-0.17336842014664683+0.008177013695381291j),-2496.8857498829634
28,12.50289375,0.006373642083462992,(-0.22943813846994837-0.019152107020492762j),-2496.771465474785
29,12.50299375,-0.016342930538673243,(-0.03307813164464543-0.37532099218640835j),-2496.6571810666064
30,12.50309375,-0.004875148144707149,(-0.026552653021021923+0.004993488349860518j),-2496.542896658428
31,12.50319375,0.003036272300910079,(0.14921165814028184+0.43954126499355756j),-2496.4286122502494
32,12.50329375,0.009539610666018378,(0.11342416087335924+0.07769600209318309j),-2496.314327842071
33,12.50339375,0.031891567336219256,(-0.07590464620283223+0.046821693121653706j),-2496.200043433893
34,12.50349375,0.021663900962624546,(-0.34036565827001664+0.12792194446151647j),-2496.085759025714
35,12.50359375,0.02044784587005351,(0.39926272777426675-0.3020846039172723j),-2495.971474617536
36,12.50369375,-0.005025728551961828,(-0.045402114096680435+0.15598189094266346j),-2495.857190209357
37,12.50379375,0.004476986967821315,(0.002725208579808888+0.10629668941816699j),-2495.742905801179
38,12.50389375,-0.006494044458582608,(-0.15945811307732488-0.10006191253172504j),-2495.6286213930002
39,12.50399375,-0.011394186670946249,(-0.11104378650309481-0.23127611868323297j),-2495.514336984822
40,12.50409375,-0.004059693447154397,(0.0534243042407058+0.04357763531298883j),-2495.4000525766437
41,12.50419375,0.008223323069413728,(-0.10930539513235188+0.12937642121470533j),-2495.285768168465
42,12.50429375,0.021631754999838076,(-0.10956724688302319-0.012816307138763465j),-2495.1714837602867
43,12.50439375,0.023582616578017156,(0.05390740838918966+0.14712251890098327j),-2495.057199352108
44,12.50449375,0.01995970438252919,(-0.1562361883172157+0.24678740647394298j),-2494.9429149439297
45,12.50459375,0.007810023840685118,(-0.011923172995805559-0.3557902015123113j),-2494.828630535751
46,12.50469375,0.0037340904730106617,(-0.16586478128736654-0.313896579702971j),-2494.7143461275728
