,t,y,fft,fftfreq
0,9.37509375,0.008139089298712456,(102.9335257322838+0j),0.0
1,9.37519375,0.004581490687270714,(-0.13366901144294896-0.08561400621114332j),0.5333333333345763
2,9.37529375,0.006065859114005064,(0.08899790958447384-0.09887012556666985j),1.0666666666691527
3,9.37539375,0.0033179859153713506,(-0.01593772637854026-0.012256457825240957j),1.600000000003729
4,9.37549375,0.006482344288837709,(0.03612816289445217+0.018472222408618125j),2.1333333333383053
5,9.37559375,0.006504163388625227,(-0.0364353592979054-0.020847955210664126j),2.6666666666728815
6,9.37569375,0.011729358463266473,(-0.06260135538553857-0.08493793120116937j),3.200000000007458
7,9.37579375,0.00665496225098211,(0.05934361591588946-0.006690864483201074j),3.7333333333420344
8,9.37589375,0.0070943909973879985,(0.0783517227518469+0.04017208280765085j),4.266666666676611
9,9.37599375,0.006360611328416482,(0.10956029151247533+0.0005535419643824396j),4.800000000011187
10,9.37609375,0.003807551099744981,(-0.0023952119241304956-0.05278785110845299j),5.333333333345763
11,9.37619375,0.005612209403843563,(-0.09518750874970412+0.02645322245963485j),5.86666666668034
12,9.37629375,0.002457187674706183,(-0.1110167929444992-0.003688855957973896j),6.400000000014916
13,9.37639375,0.004928635704688472,(-0.10635049592840465+0.0017473767407664431j),6.933333333349492
14,9.37649375,0.004327638114715272,(-0.05080947219560405-0.00884125964074195j),7.466666666684069
15,9.37659375,0.004356158464671731,(-0.038460091317958495-0.041754908416552494j),8.000000000018645
16,9.37669375,0.006123338192981518,(-0.11251150921312293-0.028433921781794016j),8.533333333353221
17,9.37679375,0.00642026917959286,(-0.07503665348301417-0.02035438525176598j),9.066666666687798
18,9.37689375,0.005047239511253986,(0.07751171289762183-0.02996776073362006j),9.600000000022375
19,9.37699375,0.006065033466509318,(0.0750855983986077+0.016405400765882074j),10.13333333335695
20,9.37709375,0.00042875754571633355,(0.09139646168547683-0.040335647625981866j),10.666666666691526
21,9.37719375,0.003126472209099492,(-0.05907701932475132-0.054943032612666046j),11.200000000026103
22,9.37729375,-0.0009420523845916786,(-0.041502153083854465-0.0003560402136686333j),11.73333333336068
23,9.37739375,0.0038595086687784465,(0.0025283770533800626+0.11209983909448543j),12.266666666695256
24,9.37749375,0.008293068796041428,(-0.03776745504295398-0.02984237727259982j),12.800000000029833
25,9.37759375,0.003346562184226239,(-0.05617899789830719-0.03190796702911313j),13.333333333364408
26,9.37769375,0.007495618895282239,(-0.060582549435081845-0.07207194942173065j),13.866666666698984
27,9.37779375,0.0016051721211552711,(0.01285728633090593+0.013325016929195278j),14.400000000033561
28,9.37789375,0.0029443518225570663,(-0.0588550897832159-0.09686422976365963j),14.933333333368138
29,9.37799375,0.001186363836130177,(-0.08566797968809833+0.019078383231464945j),15.466666666702714
30,9.37809375,0.003866436708715479,(0.09447962868259852-0.10583846309385281j),16.00000000003729
31,9.37819375,0.0037780403086257056,(-0.05690134686052217+0.0168901237318232j),16.533333333371868
32,9.37829375,0.006808903008416954,(0.03687824981594941-0.07040788615791953j),17.066666666706443
33,9.37839375,0.007443369260854152,(0.06915883821579537-0.018707796914939623j),17.600000000041018
34,9.37849375,0.005812093956135273,(-0.1456705054192098-0.09488019377365844j),18.133333333375596
35,9.37859375,0.0007116994237669033,(-0.002699572864594095-0.025379096025525905j),18.66666666671017
36,9.37869375,0.0022076392721141935,(-0.06536490362030684+0.07634887542763838j),19.20000000004475
37,9.37879375,0.002757932161101446,(-0.02027019247353738+0.06475152579805829j),19.733333333379324
38,9.37889375,0.0036278273998690833,(0.021155785810222413-0.04401030984321752j),20.2666666667139
39,9.37899375,0.0033511282002251877,(-0.054520671705381676+0.037192609948587786j),20.800000000048477
40,9.37909375,0.003525326558428606,(-0.04692107517619128+0.081521950312682j),21.333333333383052
41,9.37919375,0.005703162860554119,(-0.04216046057842287+0.05623711576421918j),21.86666666671763
42,9.37929375,0.004874208524090493,(-0.030308325501409376+0.002124664581590399j),22.400000000052206
43,9.37939375,0.004463783132354877,(-0.0898328069221882-0.01643178275525088j),22.93333333338678
44,9.37949375,0.004660526318352317,(0.041920318044238083-0.2145310255301739j),23.46666666672136
45,9.37959375,0.006518344148225916,(0.05729551012736075+0.06041754222902533j),24.000000000055934
46,9.37969375,0.004578211596721802,(0.037440658985956186+0.06236735491648147j),24.533333333390512
47,9.37979375,0.004379165497514341,(0.04104617769554787+0.10251273707055873j),25.066666666725087
48,9.37989375,0.004038915023588364,(0.07160434712210352-0.02813412294177118j),25.600000000059666
49,9.37999375,0.005112536372523363,(0.03844723674645017-0.04489099704952474j),26.13333333339424
50,9.38009375,0.004743205419035632,(-0.0945875436786879-0.05544230315386035j),26.666666666728815
51,9.38019375,0.0026271679434617377,(-0.008696051100765281+0.020702678428650208j),27.200000000063394
52,9.38029375,0.0062369460301993085,(0.03486719927002557+0.06519786810988158j),27.73333333339797
53,9.38039375,0.005505877215591166,(-0.03962636585425721-0.00803252060275162j),28.266666666732547
54,9.38049375,0.006689036197247618,(0.12069880433909962+0.09195482554248494j),28.800000000067122
55,9.38059375,0.005467075865722426,(-0.02815482953358761-0.14391687196885625j),29.333333333401697
56,9.38069375,0.00503520282058981,(-0.036910680529374205+0.011087998760227244j),29.866666666736275
57,9.38079375,0.005808395799897469,(0.09058482647382245-0.04060815446964784j),30.40000000007085
58,9.38089375,0.004215097807490343,(0.07306938210267484+0.024916342128185026j),30.93333333340543
59,9.38099375,0.005154868606668194,(-0.11581556883921724-0.08176853914170032j),31.466666666740004
60,9.38109375,0.006671031385722258,(-0.022762947284801466+0.04074582428317427j),32.00000000007458
61,9.38119375,0.0066930846754376504,(0.13983446534469807-0.09928786047310713j),32.53333333340915
62,9.38129375,0.006694269775967022,(-0.031073834912282383-0.03306816808422215j),33.066666666743735
63,9.38139375,0.00584591581571919,(0.07127328782652767+0.04532062897083135j),33.60000000007831
64,9.38149375,0.0051850438276924045,(0.03823471480228965-0.01739486837123963j),34.133333333412885
65,9.38159375,0.006079850275045926,(0.002480601147185686+0.0018489705708406093j),34.66666666674746
66,9.38169375,0.005477261945331498,(0.035282749366484144-0.02565404377348981j),35.200000000082035
67,9.38179375,0.006630019864922529,(-0.008032908197118938+0.02986940357392187j),35.73333333341662
68,9.38189375,0.006403667418552992,(-0.0267770831635932+0.01060553838692238j),36.26666666675119
69,9.38199375,0.0063879812456823955,(0.04049297600864908+0.012243918635546705j),36.80000000008577
70,9.38209375,0.0059201459032081245,(-0.018349720203875708-0.19907530953606922j),37.33333333342034
71,9.38219375,0.006659076454335418,(-0.07794460776845345-0.0758357181311631j),37.86666666675492
72,9.38229375,0.007269613844450835,(-0.052242663800598915-0.09263700101877417j),38.4000000000895
73,9.38239375,0.006049986425760693,(-0.08251913267521505+0.0033879807892589486j),38.93333333342407
74,9.38249375,0.010446417773203043,(-0.016892969344443634+0.025673667791868388j),39.46666666675865
75,9.38259375,0.007836039889006902,(0.005519356881110604-0.0017405810606552496j),40.00000000009322
76,9.38269375,0.008530879267629974,(0.050716462828790596+0.008620145335014137j),40.5333333334278
77,9.38279375,0.006810298668236281,(-0.006963666142020448+0.01935767862605806j),41.06666666676238
78,9.38289375,0.005981984178339537,(0.037789422864671865-0.0013172602364688105j),41.600000000096955
79,9.38299375,0.004294624269241713,(-0.008519302516099385+0.012429227492157833j),42.13333333343153
80,9.38309375,0.006946057363304844,(0.006456164191204726+0.05100679507079692j),42.666666666766105
81,9.38319375,0.008547910725330796,(0.15343917042243976-0.02018150118533396j),43.20000000010068
82,9.38329375,0.010544300861469545,(-0.01093991534480318-0.11990195643165064j),43.73333333343526
83,9.38339375,0.010299191659623504,(-0.0028255543652736664-0.07333699200109446j),44.26666666676984
84,9.38349375,0.009795226483448643,(-0.02654628622116533+0.09890182049859632j),44.80000000010441
85,9.38359375,0.008623311006407773,(0.012026705935778259-0.07584089169254224j),45.333333333438986
86,9.38369375,0.008436792736405152,(-0.09503760745615515+0.0024371236448687134j),45.86666666677356
87,9.38379375,0.007633268701985638,(-0.012422982984182089+0.0543272475905247j),46.40000000010814
88,9.38389375,0.005971783276989919,(0.07017090130523598+0.02236620051198482j),46.93333333344272
89,9.38399375,0.003867006633837936,(0.016269640179959882-0.016280006754739236j),47.46666666677729
90,9.38409375,0.0036471872173316332,(0.057460861457256096-0.05791318313515019j),48.00000000011187
91,9.38419375,0.0053834525416338605,(-0.011814518746937744+0.02701649910607383j),48.53333333344644
92,9.38429375,0.007766838110117103,(0.09809206917091298+0.04983159207257924j),49.066666666781025
93,9.38439375,0.007111245555850633,(-0.061420193095886054-0.021899681073018006j),49.6000000001156
94,9.38449375,0.006285331650901754,(-0.0239709222234156+0.13694520687065964j),50.133333333450175
95,9.38459375,0.004615517918147913,(-0.02981462481950241-0.10692227645672908j),50.66666666678475
96,9.38469375,0.006438032225740152,(-0.012642577618915053-0.0812550821394033j),51.20000000011933
97,9.38479375,0.0038846942580490536,(0.006464369091215408-0.05564447290895715j),51.733333333453906
98,9.38489375,0.003975733686017721,(-0.07447050060311253+0.05452982266146711j),52.26666666678848
99,9.38499375,0.005426685060670269,(0.02649155530608687-0.03817407119703339j),52.800000000123056
100,9.38509375,0.003408706057181709,(-0.05732870149203062-0.00750515722099479j),53.33333333345763
101,9.38519375,0.007715291310283341,(0.08572349775366205+0.1476751549382918j),53.86666666679221
102,9.38529375,0.002516177175522381,(0.07122946202469475+0.03564781285288404j),54.40000000012679
103,9.38539375,0.006120387996066786,(-0.07691917227945236-0.040814348084110996j),54.93333333346136
104,9.38549375,0.003893229222659927,(-0.042521966390284216-0.08682759446248942j),55.46666666679594
105,9.38559375,0.0034304463173111268,(0.02160186863892276-0.0445138385205734j),56.00000000013051
106,9.38569375,0.00399848504813725,(-0.006370865248757136+0.014818202937220824j),56.533333333465094
107,9.38579375,0.000580240840331944,(-0.0624107581954247+0.02192701726055201j),57.06666666679967
108,9.38589375,0.006392751113075286,(-0.027779846742727106+0.0764326881043865j),57.600000000134244
109,9.38599375,0.005008508957918893,(0.030952248339049443+0.007472431126646403j),58.13333333346882
110,9.38609375,0.0052223094624358115,(-0.0022697017899460797+0.07128057111914163j),58.666666666803394
111,9.38619375,0.0046278648992251255,(-0.018426393233481025+0.03457350669576392j),59.200000000137976
112,9.38629375,0.001795089195019045,(0.1375330780500781+0.02809062586091532j),59.73333333347255
113,9.38639375,0.00219244371917209,(-0.024727880867040544-0.05456121952642298j),60.266666666807126
114,9.38649375,0.003246020288896822,(-0.0626274670526211-0.0343112328436216j),60.8000000001417
115,9.38659375,0.00317872108107612,(0.034310253469059054+0.040893367807321744j),61.333333333476276
116,9.38669375,0.006615838595672934,(-0.05241853388982008+0.07052949262234794j),61.86666666681086
117,9.38679375,0.00215264184074897,(-0.039671231585040566+0.02798227235717317j),62.40000000014543
118,9.38689375,0.007832905138868841,(0.09189917584124631-0.06087821554787007j),62.93333333348001
119,9.38699375,0.004211389455557969,(0.06035302014174773-0.04858118208865566j),63.46666666681458
120,9.38709375,0.004163606599892541,(0.0037886501071134893-0.08591547021778266j),64.00000000014916
121,9.38719375,0.00033377339299327474,(-0.016463624772766743+0.06968959020168262j),64.53333333348374
122,9.38729375,0.000145644404569133,(0.0543053093543851-0.05787295434482908j),65.0666666668183
123,9.38739375,0.0012321804549003236,(0.013090901724082366-0.015402127473179907j),65.60000000015289
124,9.38749375,0.0013723363702241775,(0.026263723873090006+0.02938737794682958j),66.13333333348747
125,9.38759375,0.0042108808260249465,(-0.01483717716941715-0.040098363485320664j),66.66666666682204
126,9.38769375,0.006283518884582898,(0.10563179357224113+0.08159114083469156j),67.20000000015662
127,9.38779375,0.006475575062991803,(0.019745580170051458+0.011468709511950073j),67.73333333349119
128,9.38789375,0.005819108780210406,(0.05234037837965845-0.01746506922339254j),68.26666666682577
129,9.38799375,0.004287260196491374,(0.04433611160182878+0.024939152383438717j),68.80000000016035
130,9.38809375,0.003992805363078662,(0.03645380651725674-0.0621103500241273j),69.33333333349492
131,9.38819375,0.00298970798951856,(0.012688259578990814-0.1042580670944154j),69.8666666668295
132,9.38829375,0.0029551616480798615,(0.02358033454158843+0.0546788420261788j),70.40000000016407
133,9.38839375,0.005296793807529573,(-0.03894025535257624+0.056883975757326115j),70.93333333349865
134,9.38849375,0.002724502283699229,(0.03890434396100392+0.005386503857700217j),71.46666666683323
135,9.38859375,0.009321845476111024,(-0.07412171208002485+0.016443369261632396j),72.0000000001678
136,9.38869375,0.005223535624760301,(-0.005140949610144482-0.022610107852096814j),72.53333333350238
137,9.38879375,0.006578637784256666,(0.05597312701011323+0.04605444003320687j),73.06666666683695
138,9.38889375,0.005733642295943321,(0.17393228561243695+0.07698586682870875j),73.60000000017153
139,9.38899375,0.005204140917313221,(0.004054780536898908-0.10044274406374784j),74.13333333350612
140,9.38909375,0.004200189451552375,(-0.05350877408402674-0.0641774948860141j),74.66666666684068
141,9.38919375,0.0036546885567266965,(0.0159121340735702+0.013407025073022202j),75.20000000017527
142,9.38929375,0.006928150491322396,(0.0004686170781589838-0.1546395121896923j),75.73333333350983
143,9.38939375,0.005245805377251475,(0.044231800338765045-0.03631511011674356j),76.26666666684442
144,9.38949375,0.0076651361810662014,(-0.02694495716868911+0.0012709874404549307j),76.800000000179
145,9.38959375,0.007286834737664677,(-0.06819277651003805+0.05203280645251973j),77.33333333351356
146,9.38969375,0.0061873614319072935,(0.16038789108201817-0.1808865664471831j),77.86666666684815
147,9.38979375,0.007442146469725723,(-0.03814937460816373-0.11775605324828006j),78.40000000018271
148,9.38989375,0.008585002813431835,(-0.02490753625149006-0.0007224928767222139j),78.9333333335173
149,9.38999375,0.006295157603671878,(0.0065333378644917145+0.03269597428617474j),79.46666666685188
150,9.39009375,0.007010216118989179,(0.03547980928573402-0.10796054335094858j),80.00000000018645
151,9.39019375,0.005831874672835244,(0.0668144681919477+0.05279929699941139j),80.53333333352103
152,9.39029375,0.007813042213010064,(-0.00487650449889768-0.07151878443040113j),81.0666666668556
153,9.39039375,0.0069741707807606055,(-0.03934155616735965+0.07447736894140271j),81.60000000019018
154,9.39049375,0.004978658393247469,(-0.04133051411338917+0.05698528882383465j),82.13333333352476
155,9.39059375,0.005918483073468433,(-0.004990800096474436+0.059668589781766736j),82.66666666685933
156,9.39069375,0.005456678933854952,(0.07525866316151547-0.0051630115327009896j),83.20000000019391
157,9.39079375,0.00792651643725708,(0.09573222174156357-0.054396233187212484j),83.73333333352848
158,9.39089375,0.008262899552377724,(0.028367785382731422+0.010934558292484582j),84.26666666686306
