,t,y,fft,fftfreq
0,5.00009375,0.006180164473937817,(-0.04199426029524631+0.058191036701146545j),-4999.733347566449
1,5.00019375,0.005990052404745618,(-0.030377686926292648-0.11375868383438825j),-4999.200042676042
2,5.00029375,0.003870592750876394,(-0.061811633414575996+0.09352366432046696j),-4998.666737785636
3,5.00039375,0.004168003541014843,(-0.15639018746770994+0.04093957236777328j),-4998.133432895228
4,5.00049375,0.003332126539065012,(0.1468008534349949-0.04462957016826029j),-4997.600128004821
5,5.00059375,0.003601886765333351,(-0.003922802119355511+0.020671814243492164j),-4997.066823114415
6,5.00069375,0.003874705792687807,(-0.04997765530636316-0.0601499167956788j),-4996.533518224007
7,5.00079375,0.004932274572760829,(-0.06672443113605384+0.014484590653545851j),-4996.0002133336
8,5.00089375,0.006559112238707552,(0.10467161836020006+0.05972813865040008j),-4995.466908443193
9,5.00099375,0.008171595200802934,(-0.006320674736911764-0.0364728720434479j),-4994.933603552786
10,5.00109375,0.007136125942663765,(-0.03834535726497037-0.07312196551324232j),-4994.400298662379
11,5.00119375,0.007003212229860719,(-0.0045064888321827284-0.16083227242185208j),-4993.8669937719715
12,5.00129375,0.005236855643041966,(-0.06791738633640042+0.013435057819034701j),-4993.333688881565
13,5.00139375,0.004352979813202246,(0.014321235001163113-0.040139781060873056j),-4992.800383991157
14,5.00149375,0.004877706507181954,(-0.15427773433091274-0.03652851398477094j),-4992.26707910075
15,5.00159375,0.005447851254432425,(0.14662176873416605-0.14312796792958604j),-4991.733774210344
16,5.00169375,0.008067050709549087,(-0.042035732461437166+0.036901687167709835j),-4991.200469319936
17,5.00179375,0.008619619058756026,(-0.08235507023107581+0.035016272906919874j),-4990.667164429529
18,5.00189375,0.008304427722898283,(0.04872005205340221+0.0722319466796681j),-4990.133859539122
19,5.00199375,0.008582044239079963,(-0.05869160962537343-0.08435694676466855j),-4989.600554648715
20,5.00209375,0.0069177694009108694,(0.0912901624826503+0.018926347982121387j),-4989.067249758308
21,5.00219375,0.006242862890183089,(-0.13372500632658413-0.07191004030136479j),-4988.533944867901
22,5.00229375,0.004512727760683878,(-0.07144133754603321+0.009125915991512384j),-4988.000639977494
23,5.00239375,0.003918229949793639,(0.024849031313522604-0.13721788008996866j),-4987.467335087086
24,5.00249375,0.005883981258018147,(0.02728594198708402-0.09974734119391933j),-4986.9340301966795
25,5.00259375,0.006670712981678943,(-0.13986194168002763+0.07415809910309715j),-4986.400725306273
26,5.00269375,0.008518165810873286,(-0.04804316136944588+0.04127774753541713j),-4985.867420415865
27,5.00279375,0.009865997769400647,(0.022759361948284353+0.06769060254330511j),-4985.334115525458
28,5.00289375,0.008289168334292876,(0.010355214646465868-0.09149264422211731j),-4984.800810635051
29,5.00299375,0.00863143851478063,(0.18645078894468967-0.23731021952654535j),-4984.267505744644
30,5.00309375,0.007769072695716793,(-0.16948232063350574+0.027726640839661726j),-4983.734200854237
31,5.00319375,0.007147765202258071,(-0.0185383048210659+0.10716710868253614j),-4983.20089596383
32,5.00329375,0.0066659702695026045,(-0.20267089745560246-0.10167240385650154j),-4982.667591073423
33,5.00339375,0.006757116151483111,(0.08123452020709154-0.07077000358429954j),-4982.134286183015
34,5.00349375,0.005288779383203348,(-0.025476300065947775+0.05786097256358094j),-4981.600981292609
35,5.00359375,0.006749293165300455,(-0.08832202974211015-0.007274496667445278j),-4981.067676402202
36,5.00369375,0.006806449497052311,(-0.04747142000837866-0.06151054290029197j),-4980.534371511794
37,5.00379375,0.008299648257665264,(0.10017732300523677+0.0187707054991527j),-4980.0010666213875
38,5.00389375,0.00729908658310883,(-0.11828473134477553+0.24005157041095515j),-4979.46776173098
39,5.00399375,0.006368743529407866,(-0.11964151606427939-0.13747870081510039j),-4978.934456840573
40,5.00409375,0.009142723328074923,(-0.20199516507225643+0.012702531248062199j),-4978.401151950166
41,5.00419375,0.006110332547568061,(-0.006282814182715965-0.1719324654078742j),-4977.867847059759
42,5.00429375,0.008124300381811556,(0.23694412109023158+0.04621264156183905j),-4977.334542169352
