,t,y,fft,fftfreq
0,5.78139375,0.004063392855610323,(0.17185619214311165-0.0801222216290022j),-2499.60002131582
1,5.78149375,0.006115681417136478,(0.2238127535670882-0.1669327998842431j),-2499.066716425418
2,5.781593750000001,0.005204017273039233,(0.07498642686006493-0.1255838111524205j),-2498.533411535015
3,5.7816937500000005,0.0037835870647150867,(0.12529492217461194-0.13102679590867128j),-2498.000106644613
4,5.78179375,0.004294128821719417,(0.07388217035697296-0.24382778558034152j),-2497.466801754211
5,5.781893750000001,0.0033791981415196557,(-0.11949420624202339-0.08245901775433638j),-2496.933496863808
6,5.781993750000001,0.003712921770998803,(-0.17545709393711614-0.11036021423832196j),-2496.400191973406
7,5.7820937500000005,0.0028582931508412558,(0.018063715134383002-0.14732770786071317j),-2495.8668870830033
8,5.78219375,0.0040785944381770195,(-0.17440043382376236-0.12330694918563757j),-2495.333582192601
9,5.782293750000001,0.004214815964071183,(-0.12175151261124674+0.12427328491625299j),-2494.800277302199
10,5.782393750000001,0.0032710258744659947,(-0.0093951546962717+0.03435942625247418j),-2494.2669724117964
11,5.78249375,0.0034193056025979152,(0.011321550150785339-0.059013307655045665j),-2493.733667521394
12,5.78259375,0.005206422382687802,(-0.08291420357663677+0.08720641999019563j),-2493.200362630992
13,5.782693750000001,0.00528035863259928,(0.13222053855811725+0.11507594100267687j),-2492.6670577405894
14,5.782793750000001,0.0028520045112031146,(-0.031696245856224936+0.06915691073446198j),-2492.133752850187
15,5.78289375,0.0037921449786323695,(-0.19010806263617466-0.17554327785520696j),-2491.6004479597846
16,5.78299375,0.005728060341391577,(-0.05991774076767849-0.09339969613593911j),-2491.0671430693824
17,5.783093750000001,0.004617441173124106,(0.05932745856729352+0.1006266966837627j),-2490.53383817898
18,5.783193750000001,0.002483929080645546,(-0.1354436625487995-0.06611731565596718j),-2490.0005332885776
19,5.78329375,0.00331080476601501,(-0.09362503061940236+0.15428716381638702j),-2489.4672283981754
20,5.78339375,0.004253849994161831,(-0.051220713633596815+0.3709436840757368j),-2488.9339235077728
21,5.783493750000001,0.004895809570202426,(0.005705150270093065+0.2143098406575876j),-2488.4006186173706
22,5.7835937500000005,0.0038199325220646943,(0.2182307686365108+0.08745746730319885j),-2487.8673137269684
23,5.78369375,0.003065106919360449,(0.0826141510415718-0.20085805468708492j),-2487.3340088365658
24,5.78379375,0.0023510689172686326,(0.15243346859751805-0.23296635170636892j),-2486.8007039461636
25,5.783893750000001,0.0034596606634555676,(0.09208734219872663-0.16108972430596968j),-2486.2673990557614
26,5.7839937500000005,0.00276563738363115,(-0.06008030927357303-0.1648986216407706j),-2485.734094165359
27,5.78409375,0.003619133838467463,(-0.07099805237559903-0.007119036400380203j),-2485.2007892749566
28,5.784193750000001,0.0036540551209134774,(0.10011004972035356-0.02487243545791492j),-2484.667484384554
29,5.784293750000001,0.0044602075300691785,(0.04436742936977432-0.05106999047227018j),-2484.134179494152
30,5.7843937500000004,0.004524645088851228,(-0.28832858120072624-0.1587864393341738j),-2483.6008746037496
31,5.78449375,0.00516289575827942,(-0.1672246672717934-0.08599408790903354j),-2483.067569713347
32,5.784593750000001,0.005232602179190654,(-0.05620643525495353+0.14221208716364658j),-2482.534264822945
33,5.784693750000001,0.004888078637684158,(-0.09411405210533927+0.15486786244407016j),-2482.0009599325426
34,5.78479375,0.0039002841298767317,(-0.07538245468026773+0.13159502256707956j),-2481.46765504214
35,5.78489375,0.0052088267108076096,(-0.09620988949544718+0.14866972586468707j),-2480.934350151738
36,5.784993750000001,0.003229891044744193,(0.01302815324287998+0.22178578598823326j),-2480.401045261335
37,5.785093750000001,0.004728639362938098,(0.24265356445345504+0.11946653032952076j),-2479.867740370933
38,5.78519375,0.0054186819663794425,(0.3567380833646784+0.20053186711837484j),-2479.334435480531
39,5.78529375,0.005879540995629463,(0.15734538033966822+0.16550514777848907j),-2478.801130590128
40,5.785393750000001,0.0040888908590214785,(0.1350718003648144-0.008569055124395014j),-2478.267825699726
41,5.7854937500000005,0.0058132804869954645,(0.05137165060263439-0.13388418085051723j),-2477.7345208093234
42,5.78559375,0.007497469421997507,(0.26768592496490057-0.12803538456840496j),-2477.201215918921
43,5.78569375,0.0058502267207917675,(0.18308648000905553+0.11656901155500196j),-2476.667911028519
44,5.785793750000001,0.00663704273710877,(0.11492558595443572-0.2188150440104878j),-2476.1346061381164
45,5.7858937500000005,0.0057232950196347354,(0.0704242004331779-0.25374619021499817j),-2475.601301247714
46,5.78599375,0.007622114833483662,(-0.10489795848718113-0.03795689143931423j),-2475.067996357312
47,5.786093750000001,0.008131155397947239,(0.07843159868485494+0.07640023047532486j),-2474.5346914669094
48,5.786193750000001,0.006427577804971036,(-0.03860162411513024-0.011476295289307699j),-2474.0013865765072
49,5.7862937500000005,0.00784283228032743,(-0.012016671720522117-0.04584922363824269j),-2473.4680816861046
50,5.78639375,0.007400401107115902,(-0.19432007045209432-0.029276735546752503j),-2472.9347767957024
51,5.786493750000001,0.006807745891139538,(-0.2266313768751872-0.10187985753550598j),-2472.4014719053002
52,5.786593750000001,0.005462140891772354,(0.07812834982140612+0.1270317567519941j),-2471.8681670148976
53,5.78669375,0.0061019936628148854,(0.10709669187558031-0.0708078445576225j),-2471.3348621244954
54,5.78679375,0.006417390178755341,(0.030286909284142356-0.05372136447410428j),-2470.8015572340933
55,5.786893750000001,0.007988267738418795,(0.0629329989290403-0.22460463799763114j),-2470.2682523436906
56,5.786993750000001,0.008322350788304778,(0.2966089341140279-0.19054478515052423j),-2469.7349474532884
57,5.78709375,0.007781842482752763,(0.028557774609101354-0.049979921921333145j),-2469.201642562886
58,5.78719375,0.0070655567465936165,(-0.19528489015240102-0.2929824892197502j),-2468.6683376724836
59,5.787293750000001,0.007713368871262657,(0.04489779471552227-0.39767496203371133j),-2468.1350327820815
