,Unnamed: 0,t,y,fft,fftfreq,fft_plot,fftfreq_plot
0,0,4.84379375,0.0046414579434902,(0.00864827482296528+4.163336342344337e-17j),-5000.000000011652,(29.85273314753134+9.43689570931383e-16j),0.0
1,1,4.843893749999999,0.00652523526865,(0.025825356042358954+0.005215449508779252j),-4999.542878051513,(0.04745507165891471-0.0051661447949176795j),1.8284878405601217
2,2,4.84399375,0.0074192703865771,(0.014447632648503407+0.031111870468995773j),-4999.085756091373,(0.05232080867534832+0.0026903020276894747j),3.6569756811202434
3,3,4.84409375,0.0068788302528416,(-0.008268190163481659+0.03891669602784661j),-4998.6286341312325,(0.039742534711591414-0.012407798958723444j),5.485463521680365
4,4,4.84419375,0.0079211545450241,(-0.02410351418427165-0.009539580389581704j),-4998.171512171093,(0.05175665577163988-0.001427327132539415j),7.313951362240487
5,5,4.844293749999999,0.0072475648537114,(-0.0169470993728579-0.003762991968897847j),-4997.714390210953,(0.07038677221118336+0.014196630104898538j),9.142439202800608
6,6,4.84439375,0.0055363181959096,(-0.032332996099309244-0.028942775470275448j),-4997.257268250813,(0.06425262428965313+0.013270414263575716j),10.97092704336073
7,7,4.84449375,0.0076039800619184,(0.010173168344760458-0.032422175865709134j),-4996.800146290672,(0.047233643308595134-0.004134633371688282j),12.799414883920852
8,8,4.84459375,0.0096440014660175,(-0.021581803800330625+0.026842255737596674j),-4996.343024330533,(0.05587506091263953+0.024734462515382086j),14.627902724480974
9,9,4.84469375,0.0066781366666991,(0.023682659311093698-0.008448866897489695j),-4995.885902370393,(0.05703379392871991+0.058757089337481326j),16.456390565041094
10,10,4.84479375,0.0047191314703336,(0.004173995312033189-0.018083568118066096j),-4995.428780410252,(0.06856852097945988-0.005541057580550735j),18.284878405601216
11,11,4.84489375,0.0108021862416404,(0.008510097396685377+0.00014699380037052248j),-4994.971658450112,(0.06034032941049343+0.004604041944783673j),20.113366246161338
12,12,4.84499375,0.0105305987137383,(-0.0004254079334682337+0.004559724648247712j),-4994.514536489973,(0.05539942442173987+0.007083550096770112j),21.94185408672146
13,13,4.84509375,0.0042519473023011,(0.013429823139804191-0.005675223578018398j),-4994.057414529832,(0.05687591292679246-0.028658333455433616j),23.77034192728158
14,14,4.84519375,0.007666237545778,(0.02032252684539603+0.006656176257677273j),-4993.600292569692,(0.04629085409997678+0.016179523812683675j),25.598829767841703
15,15,4.84529375,0.0112224264594566,(0.028787618687618484+0.01684081965997293j),-4993.143170609553,(0.06189129758247688-0.0025687521900055648j),27.427317608401825
16,16,4.84539375,0.0090210722132349,(-0.006686513841528916-0.04087353890408103j),-4992.686048649412,(0.02207544200018905+0.04993137953152736j),29.255805448961947
17,17,4.84549375,0.0066902730559962,(0.042186696782231484+0.024397617998066414j),-4992.228926689272,(0.05843880020558207+0.0038789253214894306j),31.08429328952207
18,18,4.84559375,0.0087392673951922,(-0.04929096417030381-0.008384631827946246j),-4991.771804729132,(0.08249247878541317+0.017166476938229203j),32.91278113008219
19,19,4.84569375,0.0076933040901553,(-0.03090826021680044-0.021614079917316977j),-4991.3146827689925,(0.04225873575521727+0.010125494846642078j),34.74126897064231
