Units: EU
Ref Chan:Resp Chan	0-Z:0-Z
Channel Name	I1 : I2
Channel Comment	 : 

Frequency	 Real

Units:
Hz	g
0.0000000000000e+000	       -5.720988
7.8125000000000e-001	       -0.065961
1.5625000000000e+000	     -0.01712064
2.3437500000000e+000	    -0.007889691
3.1250000000000e+000	    -0.004495661
3.9062500000000e+000	    -0.003046369
4.6875000000000e+000	    -0.002088036
5.4687500000000e+000	    -0.001590757
6.2500000000000e+000	    -0.001362027
7.0312500000000e+000	    -0.001024391
7.8125000000000e+000	   -0.0008338468
8.5937500000000e+000	   -0.0007885548
9.3750000000000e+000	   -0.0007302567
1.0156250000000e+001	   -0.0006894869
1.0937500000000e+001	   -0.0005699166
1.1718750000000e+001	   -0.0006261224
1.2500000000000e+001	   -0.0003951407
1.3281250000000e+001	   -0.0005158581
1.4062500000000e+001	   -0.0004316233
1.4843750000000e+001	   -0.0004239034
1.5625000000000e+001	   -0.0004488985
1.6406250000000e+001	   -0.0003684655
1.7187500000000e+001	   -0.0003825931
1.7968750000000e+001	   -0.0003556537
1.8750000000000e+001	   -0.0003828572
1.9531250000000e+001	   -0.0003417536
2.0312500000000e+001	   -0.0003295825
2.1093750000000e+001	   -0.0003901491
2.1875000000000e+001	   -0.0003653057
2.2656250000000e+001	   -0.0003489757
2.3437500000000e+001	   -0.0002930988
2.4218750000000e+001	   -0.0003189896
2.5000000000000e+001	   -0.0003467079
2.5781250000000e+001	    -0.000383742
2.6562500000000e+001	   -0.0003158787
2.7343750000000e+001	   -0.0003462127
2.8125000000000e+001	   -0.0003968509
2.8906250000000e+001	   -0.0005560403
2.9687500000000e+001	     0.004929426
3.0468750000000e+001	   3.865857e-005
3.1250000000000e+001	   -0.0001607736
3.2031250000000e+001	   -0.0001943439
3.2812500000000e+001	   -0.0002149764
3.3593750000000e+001	   -0.0001986648
3.4375000000000e+001	   -0.0002241319
3.5156250000000e+001	   -0.0001982815
3.5937500000000e+001	   -0.0001992451
3.6718750000000e+001	    -0.000220253
3.7500000000000e+001	   -0.0002742039
3.8281250000000e+001	   -0.0002533635
3.9062500000000e+001	   -0.0002686143
3.9843750000000e+001	   -0.0002467308
4.0625000000000e+001	   -0.0002688491
4.1406250000000e+001	   -0.0002220787
4.2187500000000e+001	   -0.0002161932
4.2968750000000e+001	   -0.0002570853
4.3750000000000e+001	    -0.000257295
4.4531250000000e+001	   -0.0002346447
4.5312500000000e+001	   -0.0002404004
4.6093750000000e+001	   -0.0002515363
4.6875000000000e+001	   -0.0002420586
4.7656250000000e+001	   -0.0002609327
4.8437500000000e+001	     -0.00022872
4.9218750000000e+001	   -0.0002347273
5.0000000000000e+001	   -0.0002859739
5.0781250000000e+001	   -0.0002355625
5.1562500000000e+001	   -0.0002273801
5.2343750000000e+001	   -0.0002350605
5.3125000000000e+001	   -0.0002338704
5.3906250000000e+001	   -0.0002258518
5.4687500000000e+001	   -0.0003336167
5.5468750000000e+001	   -0.0002235504
5.6250000000000e+001	   -0.0002451982
5.7031250000000e+001	   -0.0002207128
5.7812500000000e+001	    -0.000213542
5.8593750000000e+001	   -0.0002262233
5.9375000000000e+001	   -0.0002605658
6.0156250000000e+001	   -0.0002121556
6.0937500000000e+001	   -0.0002206376
6.1718750000000e+001	   -0.0002065852
6.2500000000000e+001	   -0.0002327334
6.3281250000000e+001	   -0.0002551571
6.4062500000000e+001	   -0.0002167508
6.4843750000000e+001	   -0.0002743641
6.5625000000000e+001	   -0.0002511459
6.6406250000000e+001	   -0.0002494373
6.7187500000000e+001	   -0.0002308722
6.7968750000000e+001	   -0.0002353305
6.8750000000000e+001	   -0.0002206349
6.9531250000000e+001	   -0.0002410326
7.0312500000000e+001	   -0.0002206816
7.1093750000000e+001	   -0.0002351721
7.1875000000000e+001	   -0.0002508356
7.2656250000000e+001	   -0.0002159437
7.3437500000000e+001	   -0.0002763134
7.4218750000000e+001	    -0.000230447
7.5000000000000e+001	   -0.0002557661
7.5781250000000e+001	   -0.0002451891
7.6562500000000e+001	   -0.0002334766
7.7343750000000e+001	   -0.0002346823
7.8125000000000e+001	   -0.0002345573
7.8906250000000e+001	   -0.0002479066
7.9687500000000e+001	   -0.0002324231
8.0468750000000e+001	   -0.0002269793
8.1250000000000e+001	    -0.000223437
8.2031250000000e+001	    -0.000239767
8.2812500000000e+001	   -0.0002428666
8.3593750000000e+001	   -0.0002233141
8.4375000000000e+001	   -0.0002745775
8.5156250000000e+001	   -0.0002532241
8.5937500000000e+001	   -0.0002315445
8.6718750000000e+001	   -0.0002489304
8.7500000000000e+001	   -0.0002458086
8.8281250000000e+001	   -0.0002590216
8.9062500000000e+001	   -0.0002348604
8.9843750000000e+001	   -0.0002533319
9.0625000000000e+001	   -0.0002520734
9.1406250000000e+001	   -0.0002382688
9.2187500000000e+001	   -0.0002473118
9.2968750000000e+001	   -0.0002533198
9.3750000000000e+001	   -0.0002321075
9.4531250000000e+001	    -0.000224328
9.5312500000000e+001	   -0.0002242979
9.6093750000000e+001	   -0.0002183127
9.6875000000000e+001	   -0.0002320936
9.7656250000000e+001	   -0.0002524251
9.8437500000000e+001	   -0.0002485278
9.9218750000000e+001	   -0.0001818671
1.0000000000000e+002	   -0.0002575183
1.0078125000000e+002	   -0.0002054186
1.0156250000000e+002	   -0.0002168578
1.0234375000000e+002	   -0.0002053919
1.0312500000000e+002	   -0.0002773003
1.0390625000000e+002	   -0.0002275386
1.0468750000000e+002	   -0.0002773514
1.0546875000000e+002	   -0.0002401573
1.0625000000000e+002	   -0.0002343432
1.0703125000000e+002	   -0.0002464682
1.0781250000000e+002	   -0.0002479463
1.0859375000000e+002	   -0.0002463193
1.0937500000000e+002	   -0.0002728373
1.1015625000000e+002	   -0.0002251334
1.1093750000000e+002	   -0.0002402553
1.1171875000000e+002	   -0.0002243295
1.1250000000000e+002	   -0.0002220497
1.1328125000000e+002	   -0.0002100198
1.1406250000000e+002	   -0.0001992868
1.1484375000000e+002	    -0.000230408
1.1562500000000e+002	    -0.000210377
1.1640625000000e+002	    -0.000218124
1.1718750000000e+002	   -0.0002016799
1.1796875000000e+002	   -0.0001969693
1.1875000000000e+002	   -0.0001605423
1.1953125000000e+002	  -8.011639e-005
1.2031250000000e+002	    -0.000374042
1.2109375000000e+002	    -0.000291485
1.2187500000000e+002	   -0.0002496419
1.2265625000000e+002	   -0.0002522837
1.2343750000000e+002	   -0.0002692077
1.2421875000000e+002	   -0.0002471615
1.2500000000000e+002	   -0.0002015026
1.2578125000000e+002	   -0.0002203145
1.2656250000000e+002	   -0.0002143294
1.2734375000000e+002	    -0.000272515
1.2812500000000e+002	   -0.0002625632
1.2890625000000e+002	   -0.0002462499
1.2968750000000e+002	   -0.0001867799
1.3046875000000e+002	   -0.0002852872
1.3125000000000e+002	   -0.0001883447
1.3203125000000e+002	   -0.0001732129
1.3281250000000e+002	   -0.0003150424
1.3359375000000e+002	   -0.0002827538
1.3437500000000e+002	   -0.0002265246
1.3515625000000e+002	   -0.0002754979
1.3593750000000e+002	   -0.0002832481
1.3671875000000e+002	   -0.0002327229
1.3750000000000e+002	   -0.0002718886
1.3828125000000e+002	   -0.0002527282
1.3906250000000e+002	   -0.0002396976
1.3984375000000e+002	   -0.0002605439
1.4062500000000e+002	   -0.0002370172
1.4140625000000e+002	   -0.0002299314
1.4218750000000e+002	   -0.0002186428
1.4296875000000e+002	   -0.0002173676
1.4375000000000e+002	   -0.0002434838
1.4453125000000e+002	   -0.0002460671
1.4531250000000e+002	   -0.0002151875
1.4609375000000e+002	   -0.0002347817
1.4687500000000e+002	   -0.0002160249
1.4765625000000e+002	   -0.0002120095
1.4843750000000e+002	   -0.0002569726
1.4921875000000e+002	   -0.0002246149
1.5000000000000e+002	   -0.0002438988
1.5078125000000e+002	   -0.0002317374
1.5156250000000e+002	    -0.000262526
1.5234375000000e+002	   -0.0002368347
1.5312500000000e+002	    -0.000228776
1.5390625000000e+002	   -0.0002215777
1.5468750000000e+002	   -0.0001948107
1.5546875000000e+002	   -0.0002341759
1.5625000000000e+002	   -0.0002215054
1.5703125000000e+002	   -0.0002359433
1.5781250000000e+002	   -0.0001899286
1.5859375000000e+002	   -0.0002726048
1.5937500000000e+002	   -0.0002270614
1.6015625000000e+002	   -0.0002443347
1.6093750000000e+002	   -0.0002276313
1.6171875000000e+002	   -0.0002546816
1.6250000000000e+002	   -0.0002437264
1.6328125000000e+002	   -0.0003703166
1.6406250000000e+002	   -0.0002680811
1.6484375000000e+002	   -0.0002932017
1.6562500000000e+002	   -0.0002680831
1.6640625000000e+002	   -0.0002919327
1.6718750000000e+002	   -0.0002300094
1.6796875000000e+002	   -0.0002655126
1.6875000000000e+002	   -0.0002053356
1.6953125000000e+002	   -0.0002884144
1.7031250000000e+002	   -0.0002063634
1.7109375000000e+002	   -0.0002154558
1.7187500000000e+002	   -0.0001544907
1.7265625000000e+002	   -0.0002323775
1.7343750000000e+002	   -0.0004571006
1.7421875000000e+002	   -0.0002598098
1.7500000000000e+002	   -0.0002081659
1.7578125000000e+002	    -0.000449487
1.7656250000000e+002	   -0.0001454418
1.7734375000000e+002	   -0.0001979578
1.7812500000000e+002	   -0.0003166947
1.7890625000000e+002	   -0.0003462482
1.7968750000000e+002	   -0.0003108974
1.8046875000000e+002	   -0.0002906089
1.8125000000000e+002	   -0.0001971171
1.8203125000000e+002	   -0.0002094992
1.8281250000000e+002	   -0.0003513964
1.8359375000000e+002	   -0.0003004716
1.8437500000000e+002	   -0.0002942182
1.8515625000000e+002	    -0.000398227
1.8593750000000e+002	   -0.0001872064
1.8671875000000e+002	   -0.0001813794
1.8750000000000e+002	   -0.0003267616
1.8828125000000e+002	   -0.0002748452
1.8906250000000e+002	   -0.0002991357
1.8984375000000e+002	    -0.000300819
1.9062500000000e+002	   -0.0002249684
1.9140625000000e+002	   -0.0002339317
1.9218750000000e+002	   -0.0002573139
1.9296875000000e+002	   -0.0001632471
1.9375000000000e+002	   -0.0001370476
1.9453125000000e+002	   -0.0001669593
1.9531250000000e+002	   -0.0002055595
1.9609375000000e+002	    -0.000453711
1.9687500000000e+002	   -0.0001255702
1.9765625000000e+002	   -0.0002089068
1.9843750000000e+002	   -0.0003083232
1.9921875000000e+002	    -0.000202166
2.0000000000000e+002	   -0.0002162575
2.0078125000000e+002	   -0.0002652897
2.0156250000000e+002	    -0.000303919
2.0234375000000e+002	   -0.0003527036
2.0312500000000e+002	  -5.841761e-005
2.0390625000000e+002	   -0.0002315393
2.0468750000000e+002	   -0.0001645369
2.0546875000000e+002	  -9.237921e-005
2.0625000000000e+002	   -0.0002024884
2.0703125000000e+002	   -0.0001106066
2.0781250000000e+002	   -0.0002566229
2.0859375000000e+002	   -0.0001710523
2.0937500000000e+002	   -0.0002991012
2.1015625000000e+002	   -0.0001613901
2.1093750000000e+002	   -0.0002328251
2.1171875000000e+002	   -0.0001763554
2.1250000000000e+002	   -0.0003045043
2.1328125000000e+002	   -0.0001531874
2.1406250000000e+002	   -0.0002784695
2.1484375000000e+002	   -0.0001830846
2.1562500000000e+002	   -0.0001882344
2.1640625000000e+002	    -0.000208981
2.1718750000000e+002	   -0.0002087254
2.1796875000000e+002	   -0.0002560801
2.1875000000000e+002	   -0.0001699292
2.1953125000000e+002	   -0.0002519322
2.2031250000000e+002	   -0.0001775798
2.2109375000000e+002	   -0.0002435703
2.2187500000000e+002	   -0.0002441419
2.2265625000000e+002	   -0.0002523771
2.2343750000000e+002	   -0.0002486298
2.2421875000000e+002	   -0.0002322096
2.2500000000000e+002	   -0.0002092029
2.2578125000000e+002	    -0.000238649
2.2656250000000e+002	   -0.0002546513
2.2734375000000e+002	   -0.0001833204
2.2812500000000e+002	   -0.0002329363
2.2890625000000e+002	   -0.0002570398
2.2968750000000e+002	   -0.0002657534
2.3046875000000e+002	   -0.0001925054
2.3125000000000e+002	   -0.0002102306
2.3203125000000e+002	   -0.0002953583
2.3281250000000e+002	   -0.0002332663
2.3359375000000e+002	   -0.0002614697
2.3437500000000e+002	   -0.0002355841
2.3515625000000e+002	   -0.0002409646
2.3593750000000e+002	   -0.0001724945
2.3671875000000e+002	   -0.0002185786
2.3750000000000e+002	    -0.000217328
2.3828125000000e+002	   -0.0001692256
2.3906250000000e+002	   -0.0002582042
2.3984375000000e+002	   -0.0001792797
2.4062500000000e+002	    -0.000227418
2.4140625000000e+002	   -0.0002124245
2.4218750000000e+002	   -0.0002277828
2.4296875000000e+002	   -0.0001844011
2.4375000000000e+002	   -0.0002128818
2.4453125000000e+002	   -0.0002473009
2.4531250000000e+002	   -0.0002169944
2.4609375000000e+002	   -0.0001933839
2.4687500000000e+002	   -0.0001862252
2.4765625000000e+002	   -0.0001991608
2.4843750000000e+002	   -0.0001855534
2.4921875000000e+002	   -0.0002782577
2.5000000000000e+002	   -0.0002574493
2.5078125000000e+002	   -0.0002405745
2.5156250000000e+002	   -0.0001855226
2.5234375000000e+002	   -0.0001987589
2.5312500000000e+002	   -0.0001987692
2.5390625000000e+002	   -0.0002075538
2.5468750000000e+002	   -0.0001744874
2.5546875000000e+002	   -0.0002348033
2.5625000000000e+002	    -0.000238156
2.5703125000000e+002	   -0.0001974919
2.5781250000000e+002	   -0.0001722334
2.5859375000000e+002	   -0.0002761821
2.5937500000000e+002	   -0.0003069797
2.6015625000000e+002	  -6.346408e-005
2.6093750000000e+002	  -2.203683e-005
2.6171875000000e+002	  -3.566121e-005
2.6250000000000e+002	  -3.515923e-005
2.6328125000000e+002	    0.0001612729
2.6406250000000e+002	    -0.000273422
2.6484375000000e+002	   -0.0002518573
2.6562500000000e+002	   -0.0003208822
2.6640625000000e+002	   -0.0003823851
2.6718750000000e+002	   -0.0004256817
2.6796875000000e+002	   -0.0003033951
2.6875000000000e+002	   -0.0003012665
2.6953125000000e+002	   -0.0002492043
2.7031250000000e+002	   -0.0002624328
2.7109375000000e+002	   -0.0002892667
2.7187500000000e+002	   -0.0002491056
2.7265625000000e+002	   -0.0002782566
2.7343750000000e+002	   -0.0002575271
2.7421875000000e+002	   -0.0002492304
2.7500000000000e+002	   -0.0003075326
2.7578125000000e+002	   -0.0002895702
2.7656250000000e+002	   -0.0002534972
2.7734375000000e+002	   -0.0002622228
2.7812500000000e+002	   -0.0002701931
2.7890625000000e+002	    -0.000251345
2.7968750000000e+002	   -0.0002446922
2.8046875000000e+002	   -0.0002513832
2.8125000000000e+002	   -0.0002580111
2.8203125000000e+002	   -0.0002533286
2.8281250000000e+002	   -0.0002495593
2.8359375000000e+002	   -0.0002630044
2.8437500000000e+002	   -0.0004266041
2.8515625000000e+002	   -0.0002813883
2.8593750000000e+002	   -0.0002415793
2.8671875000000e+002	   -0.0002396968
2.8750000000000e+002	   -0.0002973985
2.8828125000000e+002	    -0.000249768
2.8906250000000e+002	   -0.0002327364
2.8984375000000e+002	   -0.0002314878
2.9062500000000e+002	   -0.0002556315
2.9140625000000e+002	    -0.000263081
2.9218750000000e+002	   -0.0002096059
2.9296875000000e+002	   -0.0002617108
2.9375000000000e+002	   -0.0002182075
2.9453125000000e+002	   -0.0002608837
2.9531250000000e+002	   -0.0002204554
2.9609375000000e+002	   -0.0001710382
2.9687500000000e+002	    -0.000291376
2.9765625000000e+002	   -0.0002541798
2.9843750000000e+002	   -0.0002264426
2.9921875000000e+002	   -0.0002369244
3.0000000000000e+002	   -0.0003105542
3.0078125000000e+002	    -0.000259209
3.0156250000000e+002	   -0.0002061188
3.0234375000000e+002	   -0.0002682488
3.0312500000000e+002	   -0.0002638942
3.0390625000000e+002	   -0.0003805113
3.0468750000000e+002	   -0.0002414722
3.0546875000000e+002	   -0.0002417197
3.0625000000000e+002	   -0.0002387984
3.0703125000000e+002	    -0.000257399
3.0781250000000e+002	   -0.0002666402
3.0859375000000e+002	   -0.0002809484
3.0937500000000e+002	   -0.0002293555
3.1015625000000e+002	   -0.0002395322
3.1093750000000e+002	   -0.0002262454
3.1171875000000e+002	   -0.0002868471
3.1250000000000e+002	   -0.0002218506
3.1328125000000e+002	    -0.000224703
3.1406250000000e+002	   -0.0002584072
3.1484375000000e+002	   -0.0002346948
3.1562500000000e+002	    -0.000255624
3.1640625000000e+002	   -0.0002729053
3.1718750000000e+002	   -0.0002181594
3.1796875000000e+002	   -0.0002403959
3.1875000000000e+002	   -0.0002702706
3.1953125000000e+002	   -0.0002582679
3.2031250000000e+002	   -0.0002545112
3.2109375000000e+002	   -0.0002591594
3.2187500000000e+002	   -0.0002403844
3.2265625000000e+002	   -0.0002398522
3.2343750000000e+002	   -0.0002327687
3.2421875000000e+002	   -0.0002396289
3.2500000000000e+002	   -0.0002209467
3.2578125000000e+002	   -0.0002048284
3.2656250000000e+002	   -0.0002886431
3.2734375000000e+002	   -0.0002550825
3.2812500000000e+002	   -0.0002569284
3.2890625000000e+002	   -0.0002428993
3.2968750000000e+002	   -0.0002598495
3.3046875000000e+002	   -0.0002463342
3.3125000000000e+002	    -0.000247124
3.3203125000000e+002	   -0.0002381678
3.3281250000000e+002	   -0.0002715437
3.3359375000000e+002	    -0.000229082
3.3437500000000e+002	   -0.0002630965
3.3515625000000e+002	    -0.000272246
3.3593750000000e+002	   -0.0002028238
3.3671875000000e+002	   -0.0002451444
3.3750000000000e+002	   -0.0002447052
3.3828125000000e+002	   -0.0001904152
3.3906250000000e+002	   -0.0002243135
3.3984375000000e+002	   -0.0002749326
3.4062500000000e+002	   -0.0002647071
3.4140625000000e+002	   -0.0001778415
3.4218750000000e+002	   -0.0002605698
3.4296875000000e+002	   -0.0002336064
3.4375000000000e+002	   -0.0002495607
3.4453125000000e+002	   -0.0002561524
3.4531250000000e+002	   -0.0002677469
3.4609375000000e+002	   -0.0002299321
3.4687500000000e+002	   -0.0002671326
3.4765625000000e+002	   -0.0002467171
3.4843750000000e+002	   -0.0002232847
3.4921875000000e+002	   -0.0002717491
3.5000000000000e+002	   -0.0002909202
3.5078125000000e+002	   -0.0002416605
3.5156250000000e+002	   -0.0002224877
3.5234375000000e+002	   -0.0002506568
3.5312500000000e+002	   -0.0002972419
3.5390625000000e+002	   -0.0002716464
3.5468750000000e+002	   -0.0003113347
3.5546875000000e+002	   -0.0003964794
3.5625000000000e+002	   -0.0001464959
3.5703125000000e+002	   -0.0001672654
3.5781250000000e+002	   -0.0002099705
3.5859375000000e+002	   -0.0002077957
3.5937500000000e+002	   -0.0002791194
3.6015625000000e+002	   -0.0003043263
3.6093750000000e+002	   -0.0002184051
3.6171875000000e+002	   -0.0002299203
3.6250000000000e+002	   -0.0002465438
3.6328125000000e+002	   -0.0002196819
3.6406250000000e+002	   -0.0002385976
3.6484375000000e+002	    -0.000233334
3.6562500000000e+002	   -0.0002665489
