Units: EU
Ref Chan:Resp Chan	0-Z:0-Z
Channel Name	I1
Channel Comment	

Time	 Real

Units:
sec	g
0.0000000000000e+000	       -71.19161
7.8125000000000e-005	        3.360085
1.5625000000000e-004	       -3.860286
2.3437500000000e-004	       -69.62106
3.1250000000000e-004	        27.86097
3.9062500000000e-004	       -21.92826
4.6875000000000e-004	       -44.07891
5.4687500000000e-004	        45.58375
6.2500000000000e-004	        -45.1137
7.0312500000000e-004	       -29.69673
7.8125000000000e-004	       -29.69673
8.5937500000000e-004	         37.1388
9.3750000000000e-004	        -69.5519
1.0156250000000e-003	        -3.65889
1.0937500000000e-003	         20.9439
1.1718750000000e-003	        16.76329
1.2500000000000e-003	        -11.8776
1.3281250000000e-003	       -65.13848
1.4062500000000e-003	        27.47042
1.4843750000000e-003	       -37.92533
1.5625000000000e-003	       -51.66344
1.6406250000000e-003	        47.77127
1.7187500000000e-003	       -46.34191
1.7968750000000e-003	       -9.981398
1.8750000000000e-003	        28.96551
1.9531250000000e-003	       -70.42864
2.0312500000000e-003	        3.565939
2.1093750000000e-003	       -1.590612
2.1875000000000e-003	       -82.08861
2.2656250000000e-003	        27.80348
2.3437500000000e-003	       -8.507649
2.4218750000000e-003	       -65.37476
2.5000000000000e-003	        34.50648
2.5781250000000e-003	       -38.07277
2.6562500000000e-003	       -20.02737
2.7343750000000e-003	        45.75625
2.8125000000000e-003	        -58.4244
2.8906250000000e-003	       -11.84976
2.9687500000000e-003	         39.0226
3.0468750000000e-003	       -78.25837
3.1250000000000e-003	         15.0099
3.2031250000000e-003	        17.62518
3.2812500000000e-003	       -47.38783
3.3593750000000e-003	         50.6635
3.4375000000000e-003	       -19.86812
3.5156250000000e-003	       -48.39014
3.5937500000000e-003	        45.58267
3.6718750000000e-003	       -48.98534
3.7500000000000e-003	        -23.7695
3.8281250000000e-003	        42.44855
3.9062500000000e-003	        -61.0029
3.9843750000000e-003	        12.37214
4.0625000000000e-003	        38.11285
4.1406250000000e-003	       -48.45506
4.2187500000000e-003	        42.45715
4.2968750000000e-003	         4.96423
4.3750000000000e-003	       -53.74011
4.4531250000000e-003	        48.05848
4.5312500000000e-003	       -33.39849
4.6093750000000e-003	       -40.95579
4.6875000000000e-003	        52.33061
4.7656250000000e-003	       -38.39172
4.8437500000000e-003	        5.964634
4.9218750000000e-003	        36.72624
5.0000000000000e-003	       -61.90161
